id,book,round,status,category,title,description,source_file,source_paragraph,source_path,keywords
LAT006-001,李敖议坛哀思录,提取轮,待校对,政治,在小岛热讽冷嘲,58年来，我坐看打着国民党旗号的一批坏人，在祸国殃民以后，退居海隅，窃中国一岛以自娱。随后，又坐看这批坏人，孵出打着民进党旗号的一批混人，在有样学样以后，退居边陲，恃中国一岛以自毁。我生也雄奇，志不在一岛，只缘阴错阳差，不幸与彼辈同土，自不免于周旋、纠缠与作弄；爱国情殷，亦不免于救溺、热讽与冷嘲。大体说来，对雄奇之人，未免浪费。如今我同孔子之年，72岁，圣之时者，也来日无多，深觉余生更当别有怀抱，往日情缘冤孽，终期于尽。因以最少时间，随意草成野史自传，聊刺群小，以彰我大。大圣到此一游，不亦快哉；大圣竟到此一游，不亦哀哉。哀思之录，亦今之“春秋”也，知我者，其唯孔子乎？,001《李敖议坛哀思录》小引一.txt,2,《大李敖全集6.0》分章节\001.自传回忆类\006.李敖议坛哀思录\001《李敖议坛哀思录》小引一.txt,"小岛,热讽,冷嘲"
LAT006-002,李敖议坛哀思录,提取轮,待校对,写作,自传少弄假,汗牛也、充栋也、上网也、下载也，古今自传多矣，但最好的，出自两位老太太：一位是赵元任太太杨步伟，一位是胡适太太江冬秀。老太太式自传的最大好处，在她随意唠叨。惟其随意，故少弄假；惟其唠叨，故无遗珠。李敖者，行文固大手笔也，以大手笔效老妪书，发为自传，其可读性，自不待言。或有以随意唠叨苛评此书者，是不知大手笔者也。大手笔一改戏路，不大手笔而老妪比，此中必有真意在，虽未忘言，亦何必辩；不露真意，此中必有蹊跷在，直在其中，亦何必辩。故行云流水，成此奇书。能解老妪，方足以读自传，知我者，其唯老太太乎？,002.《李敖议坛哀思录》小引二.txt,2,《大李敖全集6.0》分章节\001.自传回忆类\006.李敖议坛哀思录\002.《李敖议坛哀思录》小引二.txt,"自传,唠叨,真实"
LAT006-003,李敖议坛哀思录,提取轮,待校对,方法,议坛双主轴,我在立法院一直有双主轴：一个是“反对”，一个是“嘲弄”。先说反对。我是天生反对派，一有反对，我就两眼发亮。美国参议院有个笑话：表决前，一位参议员睡着了，把他推醒时，他第一反应就先说：“我反对！”其实这正是正义议员该有的基本态度。再说“嘲弄”。中国古代有“朝隐”之说，典型的是柳下惠，《法言》书中所谓“或问柳下惠非‘朝隐’者欤”，就是指此。“朝隐”是贤者身在庙堂，可是恬然不争，有如隐士。柳下惠不耻小官，他大得不介意把自己弄小了。在我看来，柳下惠虽然清高，但太消极了。我呢，我不止于“朝隐”，且是“朝（嘲）弄”，在举手投足间、经意不经意间，闪出的，总是三分喜色二分骄，更一分作弄。综合而出的，是玩世之情，不可掩也。为什么不正经八百？因为这个岛，对我而言太小了。不是我在玩家家酒，是我陪小孩子们玩家家酒，陪玩中有以施教，又好笑又好气，又不愿孤愤自怜，故以玩世出之。,004.以玩笑出之.txt,2,《大李敖全集6.0》分章节\001.自传回忆类\006.李敖议坛哀思录\004.以玩笑出之.txt,"反对,嘲弄,朝隐"
LAT006-004,李敖议坛哀思录,提取轮,待校对,方法,以玩笑延长反对,正因为我老资格如此，所以在立法院，我的基调是“倚老卖老”的，老子眼里哪有别人，别人只是一笑耳。八大山人动辄“涉事”，我一“涉事”，就不免“以玩笑出之”，为什么玩笑？因为：一、不值得；二、要长命百岁。殷海光死于49岁，蒋介石死于89岁，你反对你的敌人，你的敌人比你多活了40岁，反对个屁呀，李敖才没那么笨呢！此书伊始，先申立场如上。,004.以玩笑出之.txt,4,《大李敖全集6.0》分章节\001.自传回忆类\006.李敖议坛哀思录\004.以玩笑出之.txt,"玩笑,反对,长命"
LAT006-005,李敖议坛哀思录,提取轮,待校对,文化,不信怪力乱神,或问用“哀思录”做自己书名，不忌讳吗？答案是毫不忌讳。我不信怪力乱神、不信吉日凶日、不信星座星象、不信姓名笔画、不信塔罗塔不罗……当年我鬼月买房，人或有言，我说鬼都怕我。我怕什么？我的思想多么新，相对的，别人看来很新很年轻，其实思想极旧极腐朽，往往21世纪的人，却是11世纪、1世纪乃至公元前1世纪的头脑，妖妄迷信，不可胜数，我漂亮的前妻就是其中之一。她的大脑跟她的脸蛋全不相配，可叹哉。,005.为何起了怪书名？.txt,4,《大李敖全集6.0》分章节\001.自传回忆类\006.李敖议坛哀思录\005.为何起了怪书名？.txt,"迷信,鬼神,现代"
LAT006-006,李敖议坛哀思录,提取轮,待校对,政治,夤缘以为义,我一生是君子，一生也没政治，只是69岁之年，床前明月，自我颠倒，当上了所谓中华民国的所谓国会议员——立法委员，看来颇为政治，其实不是，因为我只是玩玩，夤缘以为义而已。,005.为何起了怪书名？.txt,7,《大李敖全集6.0》分章节\001.自传回忆类\006.李敖议坛哀思录\005.为何起了怪书名？.txt,"政治,义,立委"
LAT006-007,李敖议坛哀思录,提取轮,待校对,政治,亡国中的议员定位,在大节骨眼上，我定位得清清楚楚，并且声明在先：我把所谓中华民国，定位成亡国；把这个政府，定位成伪政府。我不是所谓国会议员，而是“议员”。一如我在2000年参选所谓中华民国总统，我实时宣告，所选乃是“中国台湾地区领导人”而已。,005.为何起了怪书名？.txt,8,《大李敖全集6.0》分章节\001.自传回忆类\006.李敖议坛哀思录\005.为何起了怪书名？.txt,"中华民国,亡国,议员"
LAT006-008,李敖议坛哀思录,提取轮,待校对,方法,以子之矛攻子之盾,乍看起来，似乎不太搭调，其实这是“以子之矛，攻子之盾”的玩法。我博闻强记，遍读群书及群狗屎之书，我在蒋介石的全集里，找到了一段他的秘密谈话，他说“中华民国”已经亡国了。原来所谓中华民国总统，在1950年3月13日就秘密承认亡国了，可见亡国之说，发现者别有其人，此人非他，蒋介石也。,005.为何起了怪书名？.txt,9,《大李敖全集6.0》分章节\001.自传回忆类\006.李敖议坛哀思录\005.为何起了怪书名？.txt,"蒋介石,亡国,证据"
LAT006-009,李敖议坛哀思录,提取轮,待校对,政治,小化自我放大国家,离狗屎太近，有自我小化之嫌，把自己变小了；但是，使台湾不绝于中国之外，却把国家变大了，以小易大，这种努力方向，也算值得。,006.我把自己变小了！.txt,6,《大李敖全集6.0》分章节\001.自传回忆类\006.李敖议坛哀思录\006.我把自己变小了！.txt,"国家,台湾,中国"
LAT006-010,李敖议坛哀思录,提取轮,待校对,人格,一言堂的思想担当,没错，是一言堂，是李敖的一言堂，是高瞻远瞩的一言堂，是特立独行的一言堂，是拍案惊奇的一言堂，是杀得鸡飞狗跳的一言堂，是苏东坡赞美“匹夫而为百世师，一言而为天下法”的一言堂，是令你喊爽爽爽爽爽爽爽的一言堂。,006.我把自己变小了！.txt,27,《大李敖全集6.0》分章节\001.自传回忆类\006.李敖议坛哀思录\006.我把自己变小了！.txt,"一言堂,特立独行,天下法"
