id,book,round,status,category,title,description,source_file,source_paragraph,source_path,keywords
LAT012-001,李敖文存,提取轮,待校对,写作,文章兼问内容表达,用狗屁来说明，实在不是骂人，而是一种评判标准。所谓文章，基本问题只是两个：一、你要表达什么？二、你表达得好不好？两个问题是二合一的，绝不能分开。古往今来，文章特多，可是好文章不多的原因，就在没能将这二合一的问题摆平。中国人一谈写文章排名，韩愈就是老大，他是“唐宋八大家”的头牌，又是“文起八代之衰”的大将，承前启后，代表性特强，可是你去读读他的全集看，你会发现读不下去。你用上面两个问题一套：一、他要表达什么？答案是：他思路不清，头脑很混，他主张“非圣人之志，不敢存”，但什么是圣人之志？他自己也不知道；二、他表达得好不好？答案是：他好用古文奇字，做气势奔放状，文言文在他手下，变成了抽象名词排列组合，用一大堆废话，来说三句话就可说清楚的小意思，表达得实在不好。,001.看谁文章写得好？（代序）.txt,6,《大李敖全集6.0》分章节/002.精品散文类/004.李敖文存/001.看谁文章写得好？（代序）.txt,"文章标准,内容表达,韩愈"
LAT012-002,李敖文存,提取轮,待校对,方法,文章评判换新标准,作为新时代的中国人，我们评判文章，实在该用一种新的标准，我们必须放弃什么山水标准、什么雅俗标准、什么气骨标准、什么文白标准。我们看文章，要问的只是：一、要表达什么？二、表达得好不好？有了这种新的标准，一切错打的笔墨官司，都可以去他的蛋；一切不敢说它不好的所谓名家之作，都可以叫它狗屁。,001.看谁文章写得好？（代序）.txt,9,《大李敖全集6.0》分章节/002.精品散文类/004.李敖文存/001.看谁文章写得好？（代序）.txt,"评判标准,表达,文章"
LAT012-003,李敖文存,提取轮,待校对,人格,敢说不好就是不好,这种新的标准，可以使我们立刻变得气象一新，开拓万古心胸，推倒千载豪杰。任何文章，如果它不能使我们读得起劲、看得痛快，就算是史汉的作者写的，又怎样呢？我们绝不可以看不下去一篇文章，却人云亦云的跟着说它好，或歌颂作者是什么八大家几大家，我们该有这种气魄：好就是好，不好就是不好，不好就是狗屁！我们该敢说我们心里的话，当你被一篇烂文章烦得要死，你除了大骂狗屁，还能骂什么呢？,001.看谁文章写得好？（代序）.txt,10,《大李敖全集6.0》分章节/002.精品散文类/004.李敖文存/001.看谁文章写得好？（代序）.txt,"判断,勇气,名家"
LAT012-004,李敖文存,提取轮,待校对,写作,文言文不能好表达,文言文的大缺点是它不能作为好的表达的工具，它跟白话分裂，写出来，是活人说死话，说得再好也是“古文辞类纂”。到了19、20世纪，有人开始突破，最成功的是梁启超，梁启超说他文章“解放，务为平易畅达，时杂以俚语、韵语及外国语法；纵笔所至不检束。……老辈则痛恨，诋为野狐”。,001.看谁文章写得好？（代序）.txt,15,《大李敖全集6.0》分章节/002.精品散文类/004.李敖文存/001.看谁文章写得好？（代序）.txt,"文言文,表达工具,梁启超"
LAT012-005,李敖文存,提取轮,待校对,写作,白话文正宗化,梁启超虽被老辈痛恨，诋为野狐，但他在中国文章史上，和司马迁、韩愈等一样，是十足划时代的人物。梁启超风靡文坛一二十年，最后由胡适等的白话文代领风骚，中国文章，自此正宗白话化。,001.看谁文章写得好？（代序）.txt,16,《大李敖全集6.0》分章节/002.精品散文类/004.李敖文存/001.看谁文章写得好？（代序）.txt,"白话文,正宗,文章史"
LAT012-006,李敖文存,提取轮,待校对,写作,白话基础薄弱生出狗屁文章,狗屁的原因是：白话文的正宗基础太薄弱，胡适等人公开表示他们老一代的白话文是放小脚式的，提倡有心，创作无力；另一方面，白话文的起步一再误入歧途，它们走上“新八股派”、“新之乎者也派”、“旧的吗了呢派”、“新鸳鸯蝴蝶派”等错路上去，乍看起来，捧来捧去，仿佛成功，实际情形却是做人成功，作文失败。小毛头们在这种文风里长大，自然种屁得屁，要他们写出不受污染的清新之作，又奇迹何来？,001.看谁文章写得好？（代序）.txt,18,《大李敖全集6.0》分章节/002.精品散文类/004.李敖文存/001.看谁文章写得好？（代序）.txt,"白话文,新八股,文风"
LAT012-007,李敖文存,提取轮,待校对,人格,自我肯定最重要,自我肯定自己，这最重要。“得志与民由之，不得志独行其道。……此之谓大丈夫。”,003.大慈大悲李敖菩萨.txt,13,《大李敖全集6.0》分章节/002.精品散文类/004.李敖文存/003.大慈大悲李敖菩萨.txt,"自我肯定,大丈夫,独行"
LAT012-008,李敖文存,提取轮,待校对,人格,大丈夫自己鼓掌,大丈夫不能靠别人掌声活，大丈夫自己给自己鼓掌。大丈夫不怕别人封锁他，——人能从容把自己封锁的人，没人封锁得了他。,003.大慈大悲李敖菩萨.txt,14,《大李敖全集6.0》分章节/002.精品散文类/004.李敖文存/003.大慈大悲李敖菩萨.txt,"掌声,封锁,大丈夫"
LAT012-009,李敖文存,提取轮,待校对,文化,出世精神做入世事业,相对的，开出山洞，大放光明，才是“大乘佛教”。这时候，有了“梵”、有了“大我”、有了“真如”、有了“法身”，人生开始活泼泼的，不是躲避，而是面对；不是舍弃，而是争取；不是出世，而是“以出世精神，做入世事业”。,003.大慈大悲李敖菩萨.txt,26,《大李敖全集6.0》分章节/002.精品散文类/004.李敖文存/003.大慈大悲李敖菩萨.txt,"大乘佛教,入世,出世"
LAT012-010,李敖文存,提取轮,待校对,人格,看破后再回红尘,从出世以后，再回到入世，就是从“看破红尘”以后，再回到红尘，这时候，这种境界的高人，真所谓“目中有色，心中无色”。他努力救世，可是不在乎得失，他的进退疾徐，从容无比，这就是真的高，做不到这种“出”“入”境界，就跟这种境界有出入，就是假的高。,003.大慈大悲李敖菩萨.txt,28,《大李敖全集6.0》分章节/002.精品散文类/004.李敖文存/003.大慈大悲李敖菩萨.txt,"看破红尘,救世,得失"
