id,book,round,status,category,title,description,source_file,source_paragraph,source_path,keywords
LAT013-001,李敖文存二集,提取轮,待校对,法权,刑先于法律,先看什么是“刑”。法学家们说刑是法律中的名目，却不知道刑远在法律之前就出现，同时远在法律之外逍遥着。我们看不到殷商的法律，却看到殷商的刑罚，我们现在用的字，像“执”字、像“囚”字、像“圉”字，都是甲骨文中吓人的字。“执”是用刑具抓人，“囚”是抓到人放在牢里，“圉”是放在牢里还挂上手铐脚镣。从原始的意义来说，刑不是法律的名目，而是无法无天的名目。后来法律出来，把刑开始文明分类，摩登的分法是：一、生命刑（死刑——电椅、绞架、枪毙），二、自由刑（徒刑、拘役、假释等），三、财产刑（罚金、易服劳役、没收），四、资格刑（褫夺公权）。以上四类，比起固有文化来，形式上人道，实质上有的也难说。例如古代的自由刑里有“流刑”，流刑是“摒诸四夷而不与同中国”，就比较意义上说，很像“驱逐出境”，是叫你捣乱鬼出境而不是“限制出境”。所以，复兴中华文化，若不是口号，就该复兴“流刑”，使流刑流行起来。,001.“缇萦救父”表示了什么？.txt,14,《大李敖全集6.0》分章节/002.精品散文类/005.李敖文存二集/001.“缇萦救父”表示了什么？.txt,"刑罚,法律,无法无天"
LAT013-002,李敖文存二集,提取轮,待校对,法权,极权用科学方法升级酷刑,在上面大分类以外，有一种叫“身体刑”或“体刑”或“肉刑”的，在摩登的法律条文中是禁止了，虽然事实上，全世界许多极权国家还日新月异的流行着。这里说日新月异，是说极权国家虽然在自由思想上大落其伍，但在专制道具上却超越前进，并且完全合乎最新的“科学方法”。从希特勒式的招供药丸，到斯大林式的浑身通电，这是古人们再也发明不出来的科学花样。何况还有现代的内科医生一旁伺候，保证可使任何人死去活来到极限境界而不致暴毙，这比古人修理专家动辄使人死去而不能活来的笨手笨脚，的确高明万分。何况“科学方法”还有不落痕迹的妙用，用之则行，舍之则藏，干净利落，证据完全没有，煞是厉害。《孟子》里说“威武不能屈”，《正气歌》里说“鼎镬甘如饴”，但把孟夫子交给希特勒、文天祥交给斯大林，老希老斯祭起“科学方法”修理老孟老文，不但文天祥可以把知道的都说出来，孟夫子还可以把不知道的也都说出来，外加检举文天祥是蒙古间谍！,001.“缇萦救父”表示了什么？.txt,15,《大李敖全集6.0》分章节/002.精品散文类/005.李敖文存二集/001.“缇萦救父”表示了什么？.txt,"极权,酷刑,科学方法"
LAT013-003,李敖文存二集,提取轮,待校对,法权,废肉刑表面轻实际重,第二、所谓“其除肉刑”，并不是不跟你算账了，账还是要算的。《史记》只写到“其除肉刑”，《汉书》却补足“其除肉刑，有以易之”。易了什么？易了不再是身体刑吗？不是。易的还是肉刑，一种新确定的肉刑。以墨刑来说，墨刑易为“髡钳，为晨旦、舂”。“髡”是削去头发，“钳”是脖子上戴上铁圈，“晨旦”是男犯人白天守寇虏，晚上筑长城；“舂”是女犯人磨米，每人要这样做五年。以劓刑刖刑来说，劓刑易为“笞三百”，“笞”是用竹子打屁股（女人屁股不好给人看，改为打背）；刖刑易为“笞五百”（但以“切左脚趾”的罪为限。“切右脚趾”的罪，反倒要从重易为死刑）。虽然还不脱皮肉受苦的身体刑，但总算不切不割，落个血肉相连下场。表面上看，该是不幸中的大幸，感谢政府德政无比，可惜的是，毛病就出在这儿。因为“笞”这种刑，看来轻，实际一点也不轻，反倒重得要命。常常笞一阵，人已气绝了。研究报告是：“外有轻刑之名，内实杀人！”“文帝乃重刑，非轻之也！”,001.“缇萦救父”表示了什么？.txt,34,《大李敖全集6.0》分章节/002.精品散文类/005.李敖文存二集/001.“缇萦救父”表示了什么？.txt,"肉刑,汉文帝,刑罚"
LAT013-004,李敖文存二集,提取轮,待校对,法权,犯罪只能罚本人,照现代眼光看，缇萦是一个人，淳于意是一个人，淳于意犯了刑事罪，该罚的是淳于意本人，而不是其他任何人。其他任何人，纵使一厢情愿，也不能代他挨罚。做女儿的，愿意自己挨罚，“以赎父刑罪”，自然也不例外。,001.“缇萦救父”表示了什么？.txt,40,《大李敖全集6.0》分章节/002.精品散文类/005.李敖文存二集/001.“缇萦救父”表示了什么？.txt,"犯罪主体,代罚,刑法"
LAT013-005,李敖文存二集,提取轮,待校对,文化,父权集中了家内支配权,上面垂直的是根棒子，下面画的是右手。所谓“父亲”，就是“右手拿个棒子的”，这足以说明一切。一般说来，父亲有杀人权（所谓“父赐子死，尚安复请？”）、父亲有打人权（所谓“小杖则受”）、父亲有卖人权（所谓“鬻妻子”）、父亲有财产权（所谓“子弟无私财”）、父亲有主婚权（所谓“父母之命”）、父亲有离婚权（所谓“七出”）……这些现象，说明了做了一家之主多神气、多划得来，也间接说明了中国人一骂架就要自称“老子”的缘故。,001.“缇萦救父”表示了什么？.txt,42,《大李敖全集6.0》分章节/002.精品散文类/005.李敖文存二集/001.“缇萦救父”表示了什么？.txt,"父权,家庭,支配"
LAT013-006,李敖文存二集,提取轮,待校对,法权,传统连坐杀一窝,传统文化中固然有“罪不相及，恶止其身“的高调，但事实上，总是“一人有罪，延其阖门”。尤其发生叛乱罪的时候，一律杀一窝，即所谓“族诛”、“连坐”、“灭门”、“满门抄斩”。标准杀法叫做“夷三族”，也有“夷五族”、“诛九族”乃至“诛十族”（学生在内）等花样。不管哪种花样，做子女的，怎么也逃不掉的。最倒霉是做女儿的，做女儿的嫁人后，挨刀的比率比任何人多一倍：婆家出了事，她固然难逃；娘家出了事，她也要送命，真所谓两头吃。知道三国以后，才有程咸等人出面说公道话，要求——,001.“缇萦救父”表示了什么？.txt,46,《大李敖全集6.0》分章节/002.精品散文类/005.李敖文存二集/001.“缇萦救父”表示了什么？.txt,"连坐,族诛,刑罚"
LAT013-007,李敖文存二集,提取轮,待校对,法权,族诛不以人为单位,中国族诛传统的成立特点，就在它的奇异“单位”。它不以“人”为单位，而是以父亲的家族为单位。父亲犯了重罪，被处罚的，不光是父亲本人，而是他的家族，整个当一个“单位”来办。所以，北齐文宣帝高洋杀一个“父亲”的时候，可以瓜蔓到七百二十人到三千人！相对的，中国人又最好“五代同堂”“九世同居”的大族制，自然覆巢之下，全是坏蛋，一个也跑不掉。,001.“缇萦救父”表示了什么？.txt,52,《大李敖全集6.0》分章节/002.精品散文类/005.李敖文存二集/001.“缇萦救父”表示了什么？.txt,"族诛,人权单位,家族"
LAT013-008,李敖文存二集,提取轮,待校对,法权,中国人权单位按家族计算,这里又写出中西文化。“人权单位”中国和洋鬼子不一样，洋鬼子一个人算几分之几，中国人许多人算一个，中国人多，数学不好，喜欢算整数，不喜欢算分数，不像洋鬼子那么小气，中国人在“人权单位”上有不同的“度量衡”，中国人有“度量”，没有什么“五分之三”，要嘛就“五分之五”，就是“一”，一一一一一，一杀杀一窝，杀了祖孙三代，杀的鸡飞狗跳，只算“一”。,001.“缇萦救父”表示了什么？.txt,56,《大李敖全集6.0》分章节/002.精品散文类/005.李敖文存二集/001.“缇萦救父”表示了什么？.txt,"人权单位,家族,文化"
LAT013-009,李敖文存二集,提取轮,待校对,法权,人权代位深入人心,正因为不构成单位，所以，有没有自己，比起有没有“一家之主”来，变得不重要。当牺牲自己，可以“搪塞”或“抵偿”统治者，而换回一家之主的时候，自然就有“别罚他，请罚我”的怪现象出现。缇萦的“愿入身为官婢，以赎父刑罪”，要求的，就是“人权代位”。汉文帝接受了这种“交换”，下至小民，上至国君，都一拍即合，这说明了“人权代位”的观念，早已深入人心。,001.“缇萦救父”表示了什么？.txt,59,《大李敖全集6.0》分章节/002.精品散文类/005.李敖文存二集/001.“缇萦救父”表示了什么？.txt,"人权代位,缇萦,交换"
LAT013-010,李敖文存二集,提取轮,待校对,法权,代罚违背现代刑法,按现代刑法观念，谈犯罪，要弄清“犯罪主体”，犯罪主体是立于犯罪地位的人。所谓人，有“自然人”和“法人”的分别，在经济、行政或其他法规中，虽有对“法人”课处罚金及没收的规定，但“法人”无法做“犯罪主体”，因为它不是生物，既不能枪毙，又不能关它。所以，“犯罪主体”，只剩下“自然人”。对“自然人”做“犯罪主体”，现代刑法观念是谁犯罚谁，不能“黄狗偷食，黑狗当灾”的由别人代替，不管别人是他什么人，不管别人是不是情愿，都不行。中国的“人权代位”传统，在现代刑法观念的检定下，不但荒唐，而且不通。即使在礼教中心、家族本位的古代，也有人异议。前面提到的尹次、史玉案，当时应劭就反对“杀无罪”的、“活当死”的，认为这是“不祥制刑之本，而信一时之仁”。不罚该罚的、罚了不该罚的，即使挨罚的甘心情愿，同意他们那样，也是“一时之仁”。,001.“缇萦救父”表示了什么？.txt,65,《大李敖全集6.0》分章节/002.精品散文类/005.李敖文存二集/001.“缇萦救父”表示了什么？.txt,"代罚,犯罪主体,现代刑法"
