id,book,round,status,category,title,description,source_file,source_paragraph,source_path,keywords,proofread_from
LAT022-001,我是天安门,校对轮,已校对,方法,制度之体决定经济之用,困难重重中有一个最大的症结，似乎没被人认真讨论到，这个症结就是：经济繁荣牵涉到根本的“体”“用”问题。满清的中国人现代化失败，重要原因是他们相信“中学为体，西学为用”。他们只想学洋鬼子的船坚炮利，却没注意船坚炮利背后的东西，没注意还不要紧，他们竟拿出自己的老家当，来当做船坚炮利背后的东西。结果呢，一旦“中学为体”了，“西学”就难乎“为用”了，“西学”的“为用”，实际得用“西学为体”才成。可是，这一真理，他们一直不知道。,001.香港的机会，中国的机会.txt,32,《大李敖全集6.0》分章节/003.惊世杂文类/007.我是天安门/001.香港的机会，中国的机会.txt,"香港,体用,制度,现代化",LAT022-001
LAT022-002,我是天安门,校对轮,已校对,法权,香港繁荣靠法治柱石,香港所以有今天这种经济上的奇迹，根本上，是它有背后的东西，那种东西是英国殖民政策与吏治基础，这种政策与基础，远自英国的“英学为体”，这种“体”，包括自由、民主、宪政、法治、人权等柱石，在这些柱石的撑腰下，英国对香港，发展出一种弹性的“积极不干预主义”，这种发展，带动了香港的经济，使香港变成了教人一见就要流口水的地区。,001.香港的机会，中国的机会.txt,33,《大李敖全集6.0》分章节/003.惊世杂文类/007.我是天安门/001.香港的机会，中国的机会.txt,"香港,自由,民主,宪政,法治",LAT022-002
LAT022-003,我是天安门,校对轮,已校对,法权,自由人权高于政权归属,从香港脱离中国后，一个多世纪来，中国人一直在“体”“用”问题上试验，中国人试验过君主立宪、试验过开明专制、试验过保皇、试验过革命、试验过勤王复辟、试验过再造共和、试验过新华春梦、试验过金陵春梦。……什么都试验过，只忘了试验一件事，就是英国人统治香港那种调调儿。结果呢，一个多世纪的比赛下来，试验出来最成功的，竟是殖民地的香港！竟是“帝国主义”下的香港！对比之下，我们能不气结吗？我们能不好笑吗？我们能不自我解嘲：如果当年中国皇帝不是把蕞尔小岛给了英国，而是甘心亡国，把整个大陆给了英国，一个多世纪下来，中国人民是不是也不错呢？我看至少至少，不会比国民党统治更坏吧？当然爱国者会说：这是什么话！我们不要做亡国奴！但是，另一种声音我们也不妨想想：许多时候，做了亡国奴的自由与人权，竟比做一个政权的家奴还像样，这又怎么说呢？富兰克林说：“哪里有自由，哪里便是我的祖国。”这种声音，岂不也值得我们比比吗？,001.香港的机会，中国的机会.txt,35,《大李敖全集6.0》分章节/003.惊世杂文类/007.我是天安门/001.香港的机会，中国的机会.txt,"自由,人权,香港,政权",LAT022-003
LAT022-004,我是天安门,校对轮,已校对,政治,香港反照中国统治能力,所有有志气的中国人，都会赞同收回香港，因为香港是我们的国耻，但是，在“更想收回来了”的同时，我们也别忘了：香港的国耻意义，竟然还有一个，那就是：在一个多世纪的比赛中，香港证明了我们中国人统治中国，竟然比不上“帝国主义”，香港的东方明珠，正反射了我们的黯然失色——这才是我们的真国耻！,001.香港的机会，中国的机会.txt,38,《大李敖全集6.0》分章节/003.惊世杂文类/007.我是天安门/001.香港的机会，中国的机会.txt,"香港,国耻,统治能力,帝国主义",LAT022-004
LAT022-005,我是天安门,校对轮,已校对,政治,香港可做民主试验,我的答案是：在收回香港后，不要只把香港当成“资本主义经济特区”，因为这是舍本逐末的、“体”“用”倒置的，香港实际该是一个“中国民主试验特区”。应该充分利用英国一百多年深植的基础，给中国做一个大试验，以“港人治港”为根本，试验出虽然没有英国人，但中国人也可以做到英国式的民主。然后，让“港人治港”的民主实绩，开花结果，给全中国看。看过以后，可以逐步开放试验特区，以香港为师，一省一省带路。例如广东与香港最亲，就可把广东跟香港对立的制度，变为香港的制度，由香港带广东走向另一种制度。这样子高班生带低班生、三年级教二年级，年深月久了，“一个国家，两种制度”，也就自然脱胎换骨了。,001.香港的机会，中国的机会.txt,42,《大李敖全集6.0》分章节/003.惊世杂文类/007.我是天安门/001.香港的机会，中国的机会.txt,"香港,民主试验,港人治港,中国前途",LAT022-005
LAT022-006,我是天安门,校对轮,已校对,政治,帝国主义是强者通病,帝国主义本是人类的一种老毛病，它的发展基础是“强凌弱、众暴寡”，这种毛病从中国到外国、从穴居人到高楼大厦的，都是一样。人类在自己成为弱者的时候，就满口和平，一旦成为强者，就犯老毛病。国民党宣传中国是爱好和平的民族，但是从汉武“事四夷”，到乾隆“十全武功”，我们实在不能不说是帝国主义的杰作。乾隆打四川西北边的大小金川（大金川是四川理番县的绥靖屯、小金川是四川懋功县），对那样小的崇山峻岭，要前后用兵五年、糜饷七千万，所谓中国民族爱和平，爱得真过头了。,002.“谢谢你，帝国主义！”.txt,2,《大李敖全集6.0》分章节/003.惊世杂文类/007.我是天安门/002.“谢谢你，帝国主义！”.txt,"帝国主义,强权,民族,和平",LAT022-007
LAT022-007,我是天安门,校对轮,已校对,政治,帝国主义可被当作替罪羊,不料，到了一九二几年的时候，居然有一种乌鸦大哥见笑乌鸦小弟了，那就是国民党的“打倒帝国主义”并发症。国民党本来的口号是很乡土的、是“驱逐鞑虏”式的，本来没有这么时髦的玩意儿。国民党开始时髦，是它“联俄容共”后受王八蛋苏联调教的结果。在这一调教下，国民党学会了用“打倒帝国主义”来做“天下之恶皆归之”的障眼法，举凡一切罪状，都扣在帝国主义头上；举凡一切搞砸了的事，都赖到帝国主义头上，这样一来，帝国主义永远是替罪羊，而国民党自己，就永远两手没血了。,002.“谢谢你，帝国主义！”.txt,5,《大李敖全集6.0》分章节/003.惊世杂文类/007.我是天安门/002.“谢谢你，帝国主义！”.txt,"帝国主义,替罪羊,国民党,口号",LAT022-008
LAT022-008,我是天安门,校对轮,已校对,方法,怪外人容易逃避自省,所以，帝国主义说破了，只是中国自己不争气的一个借口、一个没出息的借口、一个责人不责己的借口，说帝国主义把鸦片卖到中国来是王八蛋，但是最后在中国种鸦片的，又是谁呢？自己民族若争气，谁又能强迫老牛喝水呢？全世界争气民族都不受鸦片之害，只有中国民族到处是烟枪，一切都怪帝国主义，公道吗？,002.“谢谢你，帝国主义！”.txt,9,《大李敖全集6.0》分章节/003.惊世杂文类/007.我是天安门/002.“谢谢你，帝国主义！”.txt,"帝国主义,自省,责任,鸦片",LAT022-009
LAT022-009,我是天安门,校对轮,已校对,方法,反外力先求自身膨胀,一切的有作为的、向上的民族都在那里求自己的政治、经济、文化势力的膨胀。古代如此，现在亦如此。倘甲的势力膨胀与乙的相等，如日美、日俄、英美、法德等国之间，甲乙的关系就是平等的、通常的国际关系。我们不说甲乙之间有帝国主义存在。万一甲的势力膨胀过于乙的，如列强与中国之间，那么帝国主义自然而然的就来了。这是一种天然现象，无所谓善恶，如要谈善恶和责任，那么强者与弱者是同等的须负责。我们只能求我们的膨胀能与外来的膨胀抗衡，不能求外来的膨胀的取消。取消或限制任何民族的膨胀就是取消或限制它的生活。这是根本不可能的。不求自己的膨胀，而徒怨天尤人，咒骂彼帝国主义者，这是自暴自弃，更加招人的鄙视和压迫。,002.“谢谢你，帝国主义！”.txt,22,《大李敖全集6.0》分章节/003.惊世杂文类/007.我是天安门/002.“谢谢你，帝国主义！”.txt,"帝国主义,膨胀,责任,蒋廷黻",LAT022-010
LAT022-010,我是天安门,校对轮,已校对,法权,租界也可能护住言论自由,帝国主义到中国来后，有所谓“租界”（settlement concession），租界是帝国主义在中国领土上画地为特区，不受中国政府管辖。乍看起来，这些特区是丧权辱国、是洋鬼子侵略我们，但是仔细一看租界中的政治，我们却会脸红的。洋鬼子虽然帝国主义，但在帝国主义之中，他们的许多良法美意，也都“侵略”而来。比如说：洋鬼子是主张言论自由的，他们欢迎办报，于是，办报传统与办报自由都素来可怜的中国人，便如鱼得水了。当年的《苏报》，便是其中之一。《苏报》的志士仁人们，在帝国主义的庇荫下攻击中国专制政府，骂满清皇帝是“小丑”等等，越骂越高兴。骂得专制政府吃不消了，就密电这个地区的封疆大吏，命令“着即拿办”。专制政府虽然大喊拿人，可是不得洋鬼子同意，拿不进去。专制政府于是跟洋鬼子打商量，洋鬼子也买几分账，但一看专制政府的严刑峻法，却不能赞同。原来专制政府“宽大”得没有《出版法》，只有“造妖书妖言”“大逆不道”等的罪名，要用这些法律办人，就要“不分首从，皆凌迟处死”。这下子把老外给吓坏了，老外没想到“礼仪之邦”的法律竟这样野蛮。照专制政府的法律，“凌迟处死”就是一刀一刀剐死，这样重的刑，洋鬼子是看不过去的。所以，洋鬼子只肯抓人，要办人、要审人、要关人，都行，可是都得由他们代办，拒绝引渡。私下里，他们还通知志士仁人们：“赶快跑”！,002.“谢谢你，帝国主义！”.txt,26,《大李敖全集6.0》分章节/003.惊世杂文类/007.我是天安门/002.“谢谢你，帝国主义！”.txt,"租界,言论自由,出版,法治",LAT022-011
