id,book,round,status,category,title,description,source_file,source_paragraph,source_path,keywords
LAT055-001,李敖书序集续集,提取轮,待校对,法权,文星遭禁,早在二十五年前，我和文星书店的出版品，便登陆香港。以1965年5月27日到6月8日在香港大会堂的书展为例，台湾参展的单位共有二十二个，可是我和文星的书却占了两万四千五百三十五册，占总册数的百分之八十九点五四，几乎是百分之九十。这样子的风光，自然不是国民党所能容忍的，所以，国民党疯狂查禁了我的书，文星也被封门了，最后我也下狱了。,001.《李敖语录香港版》感言.txt,3,《大李敖全集6.0》分章节/007.采访序跋类/003.李敖书序集续集/001.《李敖语录香港版》感言.txt,"文星,香港,查禁"
LAT055-002,李敖书序集续集,提取轮,待校对,法权,家奴人权,从香港脱离中国后，一个多世纪来，中国人试验过君主立宪、试验过开明专制、试验过保皇、试验过革命、试验过勤王复辟、试验过再造共和、试验过新华春梦、试验过金陵春梦、试验过北京红楼梦。什么都试验过，只忘了试验一件事，就是英国人统治香港那种调调儿。结果呢，一个多世纪的比赛下来，试验出来最成功的，竟是帝国主义下的香港！对比之下，我们能不气结吗？我们能不好笑吗？我们能不自我解嘲：如果当年道光皇帝不是把蕞尔小岛给了英国，而是甘心亡国，把整个大陆都给了英国，一个多世纪下来，中国人民是不是也不错呢？我看至少至少，不会比国民党统治更坏吧？当然爱国者会说：这是什么话！我们不要做亡国奴！但是，另一种声音我们也不妨想想：许多时候，做了亡国奴的自由与人权，竟比做一个政权的家奴还像样，这又怎么说呢？富兰克林说：“哪里有自由，哪里便是我的祖国。”这种声音，岂不也值得我们比比吗？,001.《李敖语录香港版》感言.txt,5,《大李敖全集6.0》分章节/007.采访序跋类/003.李敖书序集续集/001.《李敖语录香港版》感言.txt,"香港,自由,人权"
LAT055-003,李敖书序集续集,提取轮,待校对,法权,番地留真,我来自不自由的中国大陆，活在不自由的中国台湾，它们是我的祖国，我没有富兰克林的选择。但是，二十多年来，在我被下狱的时候，香港为我喊冤；在我被封锁的时候，香港为我开放；在我被密不透风的时候，香港为我上电视录影；在我被著作查禁的时候，香港为我在海外留真 ……多少自由与人权，我得之不到于三民主义的，竟得之于帝国主义，对比之下，这不太谑画了吗？,001.《李敖语录香港版》感言.txt,6,《大李敖全集6.0》分章节/007.采访序跋类/003.李敖书序集续集/001.《李敖语录香港版》感言.txt,"香港,言论自由,海外"
LAT055-004,李敖书序集续集,提取轮,待校对,政治,殖民下限,当然帝国主义者不是以平等待我之民族，但是，看看香港、看看英国“所过者化，所存者神”的经手成绩，我们忍不住要说：他们所过的残余、他们所存在的下限，都多于我们自己所给的、都高于我们自己所定的，他们的“下驷”规格，都优于我们的“上驷”标准；他们的“殖民”待遇，都胜过我们的“大国民”水平。做为中国人，连起码的自由与人权都要托庇与番领之地，我想这种国耻，比香港割给英国更丢人吧？,001.《李敖语录香港版》感言.txt,7,《大李敖全集6.0》分章节/007.采访序跋类/003.李敖书序集续集/001.《李敖语录香港版》感言.txt,"殖民,香港,国耻"
LAT055-005,李敖书序集续集,提取轮,待校对,写作,言论乐土,感谢香港博益出版集团的关永圻先生，他在马家辉先生的策划下，毅然出版《李敖语录》香港版六种，以为李敖与香港二十五年的梦迴与因缘，做一总结。我想，在九七大限以前，香港是我最后的言论乐土。九七大限以后，香港回归，我也老去，只有《李敖语录》花果飘零，或可为苦难祖国存一悲怆见证。信笔写来，不胜依依之至也。,001.《李敖语录香港版》感言.txt,8,《大李敖全集6.0》分章节/007.采访序跋类/003.李敖书序集续集/001.《李敖语录香港版》感言.txt,"李敖语录,香港版,见证"
LAT055-006,李敖书序集续集,提取轮,待校对,写作,一介报纸,《求是报》以一大张表现自己；以匕首一般的锋利， 在国民党心臟地区直扎下去；以特立独行的个性，我行我素、独来独往。《求是报》是李敖个人主持的“一介匹夫”的报纸，在立场上完全没有党派的同异，绝对独立、客观；在思想上完全没有教条的束缚，绝对开明清楚；在斗争上完全没有群体的盲动，绝对头脑细密，做智者的指向。（特价：6000元）,003.《求是报合订本》广告词.txt,3,《大李敖全集6.0》分章节/007.采访序跋类/003.李敖书序集续集/003.《求是报合订本》广告词.txt,"求是报,独立,办报"
LAT055-007,李敖书序集续集,提取轮,待校对,政治,冰河知识,国民党退守台湾后，一切军警特务力量，都密集在小岛上。小岛中有高山，外有大海，交通发达，人民奴性，尤其便利军警特务的统治。所以三四十年来，国民党在台湾搞极权小朝廷，要怎么干，就怎么干，搞得得心应手，快乐已极，简直没有力量约束得了它。相对的，台湾的知识分子也“更无一个是男儿”的只会写妇人文章，出闺秀书；写死人文章，出“严制”书，对国民党不敢捋虎须，日以逃避现实，善保首领为务。在这种“你可怕，我怕你”的相对局面下，三四十年来，台湾十足是“冰河期”，写出来的书，满坑满谷满书店，都是阿谀取容的。,004.《国民党查禁李敖著作》序.txt,2,《大李敖全集6.0》分章节/007.采访序跋类/003.李敖书序集续集/004.《国民党查禁李敖著作》序.txt,"国民党,知识分子,极权"
LAT055-008,李敖书序集续集,提取轮,待校对,人格,不屈不媚,虽然“冰河期”是如此恐怖，如此黑暗，如此长久，可是却有一个决不屈服又决不媚世的天下第一男子汉出现，这个人就是李敖。李敖从以笔杆对付国民党起，人一次又一次坐牢，书一本接一本被禁，但他锲而不舍，每倒必起，心之所善，九死无悔，他就是要干干干，干得国民党昏头转向，全无还手之力，裤子全被脱光。,004.《国民党查禁李敖著作》序.txt,3,《大李敖全集6.0》分章节/007.采访序跋类/003.李敖书序集续集/004.《国民党查禁李敖著作》序.txt,"查禁,坐牢,不媚世"
LAT055-009,李敖书序集续集,提取轮,待校对,法权,禁关无效,国民党唯一办法只是关人和禁书，但李敖不怕被关，也不怕被禁。这个人在狱是伏尔泰加基督山，出狱是基督山加伏尔泰，国民党拿他全没法子。,004.《国民党查禁李敖著作》序.txt,4,《大李敖全集6.0》分章节/007.采访序跋类/003.李敖书序集续集/004.《国民党查禁李敖著作》序.txt,"禁书,关人,伏尔泰"
LAT055-010,李敖书序集续集,提取轮,待校对,法权,查禁文证,这张《国民党查禁李敖著作表》，就是国民党拿李敖全没法子的一纸文证。二三十年来，李敖有百分之九十的著作，都在这表上给查禁了，但是，李敖还是李敖，就像度过“冰河期”后，蟑螂还是蟑螂一样。唯一不同的是现在仍是“冰河期”，只不过换下一面解严的假招牌而已。对李敖说来，仍是下笔有常，出书有常，不见尧存，甘同桀亡。只可笑老桀已去，新桀已坐上轮椅，李敖也老汉推车矣，由此可见，李敖的处境，其实还不如蟑螂。,004.《国民党查禁李敖著作》序.txt,5,《大李敖全集6.0》分章节/007.采访序跋类/003.李敖书序集续集/004.《国民党查禁李敖著作》序.txt,"查禁表,文证,冰河期"
