id,book,round,status,category,title,description,source_file,source_paragraph,source_path,keywords
LAT056-001,李敖对话录,提取轮,待校对,政治,思想领政,邓维桢要办《政治家》时，跟我谈过很久，我就告诉他我应该是第一期的封面人物。他问：“为什么？你又不是政治家。”我说就因为我不是政治家，所以才应该找我。政治家是应由思想家来领导的，你说对不对？要不然水准就会降低，会变成政客。罗素得到诺贝尔文学奖时，不是也莫名其妙吗？他觉得他应该得和平奖才对。,001.才华盖世侠骨柔情的思想家.txt,6,《大李敖全集6.0》分章节/007.采访序跋类/004.李敖对话录/001.才华盖世侠骨柔情的思想家.txt,"思想家,政治家,政客"
LAT056-002,李敖对话录,提取轮,待校对,人格,复杂人格,凡是还能在这个社会里混的，都相当复杂。简单的人一定混不下去。虽然他们头顶上的光环可能是一样的，内里其实却不一样，就像浮在海上的冰山，不管这冰山大或小，它浮在海上只有八分之一，剩下八分之七都在水里。所以，像我这么复杂的人，是不容易让人看到全面的。,001.才华盖世侠骨柔情的思想家.txt,11,《大李敖全集6.0》分章节/007.采访序跋类/004.李敖对话录/001.才华盖世侠骨柔情的思想家.txt,"复杂,冰山,全面"
LAT056-003,李敖对话录,提取轮,待校对,人格,亦狂亦侠,□谁说的？我也有温柔敦厚的一面，譬如我在看守所里就是温柔敦厚，出来时朱光军还夸奖了我一番。另外像我给胡茵梦漂亮的离婚，难道不算温柔敦厚？当胡茵梦哀怨地到处说她是唐宝云第二，会被李敖拖十年，五个钟头后，她就接到我的离婚书和玫瑰花，她不是唐宝云第二，而是胡茵梦第一。她太不了解我李敖了，在决断关头时，我是有英雄气概的。龚定盦有一句诗说：“不是逢人苦誉君，亦狂亦侠亦温文。”我就是这样。我有很奇异的做人标准，不是那么容易了解的。,001.才华盖世侠骨柔情的思想家.txt,16,《大李敖全集6.0》分章节/007.采访序跋类/004.李敖对话录/001.才华盖世侠骨柔情的思想家.txt,"温柔敦厚,英雄气概,做人标准"
LAT056-004,李敖对话录,提取轮,待校对,人格,封锁突围,三十三年来，我是台湾唯一可以很狂放表达自己的人，很多人不敢做，很多人做不到，当然，很多人不屑做。但是我敢，我是一个顽强的战士，我要在与官方不和的大前题下，突破封锁的重围表达自己。,001.才华盖世侠骨柔情的思想家.txt,29,《大李敖全集6.0》分章节/007.采访序跋类/004.李敖对话录/001.才华盖世侠骨柔情的思想家.txt,"表达自己,封锁,战士"
LAT056-005,李敖对话录,提取轮,待校对,写作,广告文字,我对中文运用的空前绝后，从我讲的“五十年来和五百年内，中国人写白话文的前三名是李敖、李敖、李敖”这句话可以看出。一般人绝对不会像我这样运用文字，他们顶多说五十年来五百年内我是最好的、五十年来五百年内我是第一等等，他们绝不会用“李敖、李敖、李敖”，我这样用法，可以构成押韵、达到广告效果。,001.才华盖世侠骨柔情的思想家.txt,40,《大李敖全集6.0》分章节/007.采访序跋类/004.李敖对话录/001.才华盖世侠骨柔情的思想家.txt,"白话文,押韵,广告效果"
LAT056-006,李敖对话录,提取轮,待校对,政治,大向优先,记得苏东启被捕时，我正在念大学，苏洪月娇抱着四个月的孩子从中山南路走向监察院去陈情，途中被抓去。十五年过去了，谁为苏东启讲过一句话？谁给过苏洪月娇一块钱？他们受了那样大的痛苦、做了那样大的奉献，只凭党外主流派几句话就能开除他们的功劳吗！不可以这样的！当苏洪月娇跟苏东启站在第一线时，党外主流派在哪里？至于说苏洪月娇金钱不清，党外有几个金钱清的？妓女不可以互相指责对方不贞洁的。何况衡量政治人物也不能用这个标准。只要大方向正确，小地方管他干什么。,001.才华盖世侠骨柔情的思想家.txt,43,《大李敖全集6.0》分章节/007.采访序跋类/004.李敖对话录/001.才华盖世侠骨柔情的思想家.txt,"苏洪月娇,党外,大方向"
LAT056-007,李敖对话录,提取轮,待校对,文化,丧礼改革,我父亲去世时，我回去奔丧，他是台中一中的国文科主任。当天，台中一中两三千名学生送丧，台中市长、台中市议会议长都来了，在那样的场合，我突然主张改革丧礼，反对穿孝、反对烧纸、反对磕头。面对几千多只责备我的、看不起我的、憎恨我的眼睛，面对那么具体的场面，但我敢那样做。,001.才华盖世侠骨柔情的思想家.txt,98,《大李敖全集6.0》分章节/007.采访序跋类/004.李敖对话录/001.才华盖世侠骨柔情的思想家.txt,"丧礼,改革,传统"
LAT056-008,李敖对话录,提取轮,待校对,人格,监狱锻炼,□我认为训练一个男子汉有两个最好的地方，一个是在军队（战场上），另外一个就是监狱。如果在这两个地方你能够应付得好的话，你会更坚强、更壮大；应付得不好的话，就会受尽折磨，痛苦万分。,002.对是非绝对是不让步的.txt,19,《大李敖全集6.0》分章节/007.采访序跋类/004.李敖对话录/002.对是非绝对是不让步的.txt,"监狱,军队,男子汉"
LAT056-009,李敖对话录,提取轮,待校对,方法,长考结论,□可以说上下古今每一个主题，甚至每一个谚语我都去思考，有时甚至是长考，以求得我自己的一个结论。如果我现在要写文章的话，这些东西随时可以应用得上，因为我已经有了思考的结论。,002.对是非绝对是不让步的.txt,27,《大李敖全集6.0》分章节/007.采访序跋类/004.李敖对话录/002.对是非绝对是不让步的.txt,"思考,结论,写文章"
LAT056-010,李敖对话录,提取轮,待校对,知识,经世治用,认为做学问很重要，学问高于一切，这是一种病态。知识分子应该发挥学问积极的一面——经世治用。,002.对是非绝对是不让步的.txt,33,《大李敖全集6.0》分章节/007.采访序跋类/004.李敖对话录/002.对是非绝对是不让步的.txt,"学问,知识分子,经世治用"
LAT056-011,李敖对话录,提取轮,待校对,方法,不为读书,看书是我写文章、表达思想的准备工作，我绝对不相信什么“为读书而读书”的。尤其是读古书，除非你能读得很活，能够驾驭它们，否则的话，充其量只是个老学究，什么都没有。,002.对是非绝对是不让步的.txt,34,《大李敖全集6.0》分章节/007.采访序跋类/004.李敖对话录/002.对是非绝对是不让步的.txt,"读书,写文章,表达思想"
