id,book,round,status,category,title,description,source_file,source_paragraph,source_path,keywords
LAT064-001,李敖书牍集,提取轮,待校对,知识,学者不做应召之臣,自来所谓第一流知识分子，理该维护“大儒式”的尊严，不亢不卑，与统治者相抗。这种抗，不一定是敌对，毋宁是维护应有的风范与规格。《战国策》记颜斶拒见齐宣王，“王曰斶前”，“斶亦曰王前”，顔斶的分庭抗礼，并非说与统治者不能见面，而是坚持你不能“召见”我，所谓“有不召之臣”是也。第一任中央研究院院长蔡元培先生，主持北大时，统治者来拜访他，他送行时，只送到校长室门口为止，不肯向前多走一步，这种对知识分子尊严的维护，岂不值得今天的中央研究院院长想想吗？,001.责备吴大猷先生.txt,8,《大李敖全集6.0》分章节/008.书信函件类/007.李敖书牍集/001.责备吴大猷先生.txt,"知识分子,尊严,不亢不卑"
LAT064-002,李敖书牍集,提取轮,待校对,写作,幽灵不会散去,你说《文星》复刊，向你拉广告捧场，你送上远流版《李敖全集》广告，却被他们打回票。听来十分有趣。不过，如果他们真的除恶务尽、除李敖务尽，也就罢了。无奈复刊第一炮中，其中两篇可读性之文，竟不能免于是李敖写的：一篇是萧孟能的《关于〈韩福瑞和他的思想〉》，真的作者非萧孟能，乃当年之李敖也；另一篇是陈香梅的《我所知道的韩福瑞》，真的作者亦非陈香梅，乃当年之李敖（连改带写）也——《文星》消灭李敖，最后李敖阴魂不散，消灭了半天，竟被李敖消灭如此，真有趣哉！,002.银纸包个臭皮蛋.txt,5,《大李敖全集6.0》分章节/008.书信函件类/007.李敖书牍集/002.银纸包个臭皮蛋.txt,"文星,李敖,写作存在"
LAT064-003,李敖书牍集,提取轮,待校对,文化,复刊不能失魂,不过重要不在大场面，而在内容如何。否则再金玉其外，也不过是银纸包个臭皮蛋耳！——《文星》当年是为争取自由而殉道的，《文星》复活若失掉这种精神，纵使能有余气，也是行尸走肉而已。,002.银纸包个臭皮蛋.txt,7,《大李敖全集6.0》分章节/008.书信函件类/007.李敖书牍集/002.银纸包个臭皮蛋.txt,"文星,自由,殉道"
LAT064-004,李敖书牍集,提取轮,待校对,人格,终点也是起点,从你的书里，看到你人生的道路真是“一段漫长、漫长的道路”，走了二十多年，其实没有终点。没有终点，不一定就是不成功。人生每一段路仿佛都有终点，但在终点尽处，却是另一条路的起点。陆游诗中“山重水复疑无路”，可说是路上的人的一种普遍心境，但随着“柳暗花明又一村”，却又带给人绝处逢生的乐观。一村又一村走完，除非继续走下去，成功之感，会非常短暂，并且成功之感，往往只是庆幸自己终于走完了一段错路而已——这就是人生，永远是走不完的路，而终点就是起点。,003.直线前进对，周而复始错.txt,6,《大李敖全集6.0》分章节/008.书信函件类/007.李敖书牍集/003.直线前进对，周而复始错.txt,"人生路,终点,起点"
LAT064-005,李敖书牍集,提取轮,待校对,方法,直线前进,对我说来，人生的道路虽然有不断的“何处是归程，长亭更短亭”的终点与起点，但这种方向，却该是直线前进的，而不是周而复始的。周而复始的缺点是把人生的道路弄得太狭窄，终点虽然就是起点，但因为轨迹是圆周，结果常常又走上老路。相对的，直线前进却不这样，直线前进把人生的道路分成多少段，一段段的走了又走。你信上说你和胡茵梦去游Walden Pond，当年Walden Pond的隐士Thoreau虽在湖滨散记两年，但他仍搬出山林，另觅起点。他说：“或者因为我认为还有若干不同的生活须待尝试，不能久过这一种生活。”这是对的。但人生最后，必须有一种自我（不靠他人的）归宿，则是智慧的决定。达尔文周游世界后，“开花”于家园；马克思“煽动暴乱”后，“落草”于大英博物馆。……这种决定，是很必要的，虽然也许只适用在高人身上而不是高美人身上。,003.直线前进对，周而复始错.txt,8,《大李敖全集6.0》分章节/008.书信函件类/007.李敖书牍集/003.直线前进对，周而复始错.txt,"方向,直线,自立"
LAT064-006,李敖书牍集,提取轮,待校对,方法,来回都不空手,我现在除了散步一次外，全天都藏在家里，在家里保证是天下第一忙人。忙的情形，有“来回带物法”可见一斑。“来回带物法”是我自己摸索出来的方法，就是在家里，只要一走动身体，不论从书桌到餐桌，或是从这间房到那间房，来去之间，绝不空手，总要顺便带件东西、带件资料，把相关的一切顺手归位。甚至小便时也此尿不白撒，一边小便，一边看马桶盖上的零星资料，顺手带回，即予分类入档。虽然这样勤勉，一天下来，总还觉得时间不够用，恨不能延寿半世纪，把永远做不完的事，再多做一些。,004.来回带物法.txt,5,《大李敖全集6.0》分章节/008.书信函件类/007.李敖书牍集/004.来回带物法.txt,"时间管理,资料分类,来回带物法"
LAT064-007,李敖书牍集,提取轮,待校对,法权,查扣必须书面,二、查依《出版法施行细则》第30条出版法所规定之行政处分，应以书面为之。该警员显然并未经由“以书面为之”手续，就悍然“查扣”，其行为违法，此其一。,005.贵市长言而无信，令人羞羞.txt,7,《大李敖全集6.0》分章节/008.书信函件类/007.李敖书牍集/005.贵市长言而无信，令人羞羞.txt,"禁书,行政处分,书面理由"
LAT064-008,李敖书牍集,提取轮,待校对,法权,赔偿不能赖账,五、查该分局辖下警员，前曾因违法“查扣”事件，经本人委由龙云翔律师代理，于去年6月24日径函贵市长请求国家赔偿，并要求支付本人可得预期之利益六千九百零一元（内含已扣押四十六本书价六千九百元及罚贵府金一元）。经贵市长深明利害，下令法制室及新闻处约本人协商，同意照赔及照罚在案。在协商记录中，且保证转达处分违法渎职警员多人。如今事隔一年，不但未见处分，且该古亭分局又故态复萌，贵市长言而无信，令人羞羞。此信除请就本说明一、二、三、四，四点示复外，并请答复：,005.贵市长言而无信，令人羞羞.txt,10,《大李敖全集6.0》分章节/008.书信函件类/007.李敖书牍集/005.贵市长言而无信，令人羞羞.txt,"国家赔偿,查扣,政府信用"
LAT064-009,李敖书牍集,提取轮,待校对,法权,宪法不能空挂,六、兹据《宪法》第24条凡公务员违法侵害人民之自由或权利者，除依法律受惩戒外，应负刑事及民事责任。被害人民就其所受损害，并得依法律请求赔偿；及《国家赔偿法》第2条及第2项规定，主管官员除依法律应受惩戒及应负刑事及民事责任外，并应负损害赔偿责任；及《公务员服务法》第6条、第22条；“公务员惩戒委员会议决书”鉴字第1739号、第1829号、第1833号、第2340号。特致此函，请速示覆。,005.贵市长言而无信，令人羞羞.txt,13,《大李敖全集6.0》分章节/008.书信函件类/007.李敖书牍集/005.贵市长言而无信，令人羞羞.txt,"宪法,国家赔偿,公务员责任"
LAT064-010,李敖书牍集,提取轮,待校对,写作,冥诞发表也是抗议,你10月30日的信收到。因为赶出31日蒋介石冥诞时秘密上版的“蒋介石研究”，所以拖到现在才能回你（这次出版《蒋介石研究》，真是大快人心之事！总算在众口一声大喊万岁之时，表达了不同的声音与抗议，也证明了全台湾还有活人在！还有不买你蒋家账的人在！这次冥诞，他妈的党外全都噤若寒蝉了，没人敢攻击蒋介石了。他们内斗内行、外斗外行，他们对斗李敖的兴趣远超过斗蒋介石，这叫什么党外？这些杂碎不能成气候，此适为一例）。,006.“惭愧公荣文王”.txt,4,《大李敖全集6.0》分章节/008.书信函件类/007.李敖书牍集/006.“惭愧公荣文王”.txt,"蒋介石研究,出版,抗议"
