id,source_id,book,round,status,category,title,description,source_file,source_paragraph,source_path,keywords
LAT081-001,LAT081-002,李敖笑傲江湖,校对轮,已校对,情爱,贞操观念锁住的是头部,这话怎么说呢？贞操锁给我们的观念呢，就是把阴部锁起来。可是我们想想看，真正犯罪的或者偷人的或者通奸的这个念头啊，不是来自阴部，而是来自头部。所以我们很多的观念，事实上呢，这个头部被锁起来了。很多错误的观念，该锁的不是阴部而是头部。我们到处可以看到很多错误的观念，其中包括一种并发症式的可笑的观念。我们看看台湾的政治上面，该锁的一个部份呢。譬如说，最近国民党的政府里面内阁改组，我们看到一个很奇怪的现象。就是当这些国民党的大官们，他不能够在这个位置上面了，给他搬风了，或者他下台了。我们最大的一个感觉呀，就是哭成一片。这些大官们每一个人都像个小妹妹一样，都是感情非常丰富的，这个哭个不停。这是怎么回事呢？,002.悲情满朝.txt,7,《大李敖全集6.0》分章节/010.节目演讲类/001.李敖笑傲江湖/002.悲情满朝.txt,"情爱,贞操观念锁住的是头部,悲情满朝"
LAT081-002,LAT081-003,李敖笑傲江湖,校对轮,已校对,政治,台湾财富有援助大陆的历史责任,所以我们才知道中国是这么样的穷困。在这么穷困的时候，我们才知道，当年使中国人这么穷的原因，是他们的黄金，他们国库的钱，被运到台湾来。我们发了财，大陆穷困到今天。直到今天，他们的黄金准备还在我们之后。这个时候在大陆发生了地震的时候，我们给他们一点点援助。我们不要再讲那种三七四六的那种混话了。就说：啊！这个他们对我们不好，我们怎能给他们一点援助。我的意思，不应该这样子，不对的。这个我们应该对他们真的有一点的援助，是情理之中的事情，因为我们今天发了财了。我曾经讲过，我们台湾的乞丐都比大陆的乞丐穿得好、穿得体面。当然大陆的穷困不能完全怪共产党，因为我们记得我们念唐诗，念杜甫的《石壕吏》就讲：他讲了有那种抓兵的时候就抓，结果这个男生就逃掉了，结果剩下老太太。兵役科的人就问：你有没有当兵的给我们，有没有壮汉，有没有壮丁？老太太说：没有。这诗里说，“室内更无人”，房间里没有人。“唯有乳下孙”，只有吃奶的孙子。“有孙母未去”，我孙子的妈妈没有离开，可是不能见你们。为什么不能见你们呢？因为“山入无完裙”，没有衣服穿。可见从唐朝开始啊，中国女人就少了一条裤子。,003.劫贫济富.txt,21,《大李敖全集6.0》分章节/010.节目演讲类/001.李敖笑傲江湖/003.劫贫济富.txt,"政治,台湾财富有援助大陆的历史责任,劫贫济富"
LAT081-003,LAT081-004,李敖笑傲江湖,校对轮,已校对,政治,私生遮丑不能越过杀人底线,还有一种呢，不可以杀人。就是你有了私生子以后，不可以杀人，什么意思呢？当年蒋经国就跟他的女人就私生啦，生出来章孝慈、章孝严他们兄弟两个人。为什么我先讲章孝慈呢？因为章孝慈是弟弟，我跟他认识，这个请我到东吴大学。章孝慈、章孝严他们私生子，私生子还不严重，他们妈妈被蒋经国或者是蒋经国的爸爸蒋介石给杀掉了。为什么我们证实了这一点呢？因为现在从后来出的史料里面，我们都知道了，他们杀了，蒋经国杀了章孝慈、孝严的妈妈。孝慈孝严的妈妈可能惹来杀身之祸的原因呢？她是可能太……用蒋经国的眼里看，可能太招摇了，到处讲你是专员的情妇。你给专员生了小孩子，所以有问题。事实上，据我所知，孝慈跟孝严两个人，这双胞胎，几乎都被杀掉了。因为我有一个台大历史系的学长叫做周春堤，他的父亲是周邦道，做过考选部的次长。周邦道当年在桂林做这个省中，好像是六中的校长，国立六中的校长。当时国立六中的校长下面有一个女生部的主任，就是章孝慈、章孝严的妈妈的姐姐，章亚若的姐姐。有一天哪，忽然很慌张的看到了一组人马，就是章亚若的妹妹抱着两个双胞胎。来到了桂林来投奔章亚若的姐姐，到了以后，第一句话就说：幸亏我们跑得快，否则的话，连我们也被干掉了。所以这个真相经过周春堤亲口告诉我，所以我才知道几乎双胞胎都被干掉。所以我的意思啊，搞出私生子也可以，乱扯女人也可以，不可以杀人，第二点。,004.私生子.txt,14,《大李敖全集6.0》分章节/010.节目演讲类/001.李敖笑傲江湖/004.私生子.txt,"政治,私生遮丑不能越过杀人底线,私生子"
LAT081-004,LAT081-005,李敖笑傲江湖,校对轮,已校对,政治,不了解大陆疾苦会误判中国,我们公布了这个照片呢，他说我们是捏造的。可是从另外一个角度来看，我们也可以知道台湾的这个发财发到了这个程度，就是真的不了解人间的疾苦。今天的年轻人根本不了解当年的这种战乱时代，这个中国是什么样子的，不了解。所以大家对中国的批评，也不了解。不了解的情况害得什么呢？害得我们对中国的评判很多都发生了落差。什么落差呢？譬如说，我们觉得中国问题，目前这个情况底下，说中国好战，说中国人口太多。谢长廷最近在电视辩论里面还讲，他说如果我们统一了以后，海峡对岸的工人跑过来了，一个月只要两千块，那我们的工人都失业了。说这话对不对呢？是对的，可是为什么人家那么穷困呢？人家的穷困跟我们逃到台湾来有原因的，不是没有原因的。就是我们把当年大陆国库的黄金，92万两黄金，全部给他抢到台湾来，偷到台湾来。我们的有钱害得人家穷困是有直接的关系的，这笔帐到今天还没有算清楚。我们不应该说别人穷，嫌别人穷，不应该这样子。因为我们把别人的钱拿到台湾来了，我们拿了全中国的国库的钱到台湾来，害得大陆一穷二白，他们没有钱了。他们本来就穷，后来也没有钱了。结果我们台湾经济起飞了，我们是劫贫济富我们经济起飞了，可是大陆这个经济搞不起来，所以问题出在这里。,005.三毛流浪记.txt,15,《大李敖全集6.0》分章节/010.节目演讲类/001.李敖笑傲江湖/005.三毛流浪记.txt,"政治,不了解大陆疾苦会误判中国,三毛流浪记"
LAT081-005,LAT081-006,李敖笑傲江湖,校对轮,已校对,文化,三国史可破除正统执念,就好像1949年以后，中华民国已经不是正统了！中华民国跑到台湾来了，你蒋介石都讲了。我讲过1950年3月13号蒋介石的秘密谈话里面讲，中华民国亡国了！这中华民国没有了，你还代表正统？代表个鬼！所以我们中国历史上常常为了正统的观念，大家争来争去争来争去。事实上我这里特别点破，由三国的观念就可以看出来：蜀国，就是刘备这个系统不是正统的。我们在《三国演义》里面看不出来，三国演义里面口口声声赞美刘备，赞美刘备这个系统。事实上刘备在当时跟孙权没有不同，都是各据一方的军阀，想打天下，想抢天下。最后刘备没有抢成功，失败了，失败到后来我们也知道。为什么诸葛亮在刘备死了以后，做了接班人，来照顾刘备的儿子阿斗。照顾阿斗的原因就是诸葛亮表现得很光明磊落，就是我鞠躬尽瘁，死而后已。为什么呢？为什么他这样子呢？因为他觉得没有希望！什么原因呢？整个的部队，在四川的部队只有五万个人。五万个人想去反攻大陆，打回中原去是不可能的。,006.李敖话三国（一）.txt,21,《大李敖全集6.0》分章节/010.节目演讲类/001.李敖笑傲江湖/006.李敖话三国（一）.txt,"文化,三国史可破除正统执念,李敖话三国一"
LAT081-006,LAT081-007,李敖笑傲江湖,校对轮,已校对,政治,权力争夺不能简单分好坏,我们历史上争了很多这个，各种天下大乱的时候，各路英雄好汉来逐鹿中原，打天下，抢天下，这是常情。所以曹操当时去抢天下，刘备孙权也抢天下，这都是常情，并不稀奇的。哪个人好，哪个人坏，不能含含糊糊去说。事实上在我看起来都差不多的，都是争取权力的。不过曹操虽然是心狠手辣，他有他的很多的功劳，我也讲过。他维持了汉朝的命脉，抵御了外国的胡人，他也做了很多事情。并且曹操在很多角度里面，他度量很大，起先是看不到的。譬如说，他对关公就是一个例子，关公被曹操俘虏以后，曹操很拉拢关公，希望他跟着他。可是关公在这点上很了不起的，关公这个人虽然是非常骄傲的。因为他骄傲，所以他很任性的一个人，最后还害了刘备。可是基本上这个人在义气这点上，古今第一，很了不起的。所以我们看看《三国志》里面，关于关公这段话，我们就可以看到了。关公被俘虏以后他要走，要投奔刘备，要跟他老的主人走。上次我讲过了，我们不能证明关公刘备张飞他们是把兄弟，不过他们感情是非常好的，桃园三结义是不可靠的。你看到没有？然后曹操就派张辽去打听关公的动向，然后关公就叹气说，“吾极之曹公待我厚”。我难道不知道吗？我清清楚楚知道，曹操对我很好。可是我受刘将军厚恩，当年我是跟着刘备了。我们发誓一起共生死，“不可背之”，我不可背离他。现在刘备潦倒了，刘备的势力拆散了，我也被曹操俘虏了，可是我不应该离开刘备。曹操对我好，我也不可以离开刘备，这个关公很义气的。“吾终不留”，我不会留在这里，最后我是要离开的。可是我要离开以前，我要“立效以报曹公乃去”。我要还他这个人情，我欠他大人情，因为曹操对我好，我要还他这个人情。,007.李敖话三国（二）.txt,8,《大李敖全集6.0》分章节/010.节目演讲类/001.李敖笑傲江湖/007.李敖话三国（二）.txt,"政治,权力争夺不能简单分好坏,李敖话三国二"
LAT081-007,LAT081-008,李敖笑傲江湖,校对轮,已校对,方法,标点细节能暴露经典误读,换句话说，人家清朝的这些了不起的学者，早就发现了这种“夕惕若”的标点方法是错的。可是台湾这些学者们，这些搞中国文化复兴的这些政客们。他们出的钱编的这个书，结果还把它写成“夕惕若”，这样标点的错误，可见根本完全不了解《易经》。所以解释半天，都是胡说八道。请大家看看这段话怎么解释呢？我们最简单的解释大家看：“乾，元亨利贞”，看我李敖怎么翻译，清清楚楚。第一个，“男性卦”“乾，元亨利贞”“好的开始，可以发展，可以繁荣，可以结果”，元亨利贞。第二，“初九，潜龙，勿用”，“九在最下面一行”，倒着算的嘛，六行。男人的卦叫做这个九，女人的卦叫六，所以初九就是男性的卦。“九在最下面一行”，“龙潜在水底，不要有动作”，叫做潜龙勿用。好了再看，“九二”，九二的话倒数第三就九二。“见龙在田，利见大人”，见就是现，出现了。换句话说，“九在倒数第二行，见到龙升到田野里面来了，见到大人先生是好的”“九三，君子终日乾乾，夕惕，若厉，无咎”，就是“九在倒数第三行”，九在倒数第三行就是第四行。这意思呢，“君子白天努力，晚上努力，这样干，就没错”。看到没有，“君子终日乾乾”，白天努力。“夕惕”，就是“终夕惕惕”，晚上努力。“若厉”，就是这样子干。“无咎”，就没有错，看到没有，讲得清清楚楚。“九四，或跃在渊，无咎”就是“九在倒数第三行，龙在下面跃跃欲试了，没有错”。“九五，飞龙在天，利见大人”“飞龙在天上了，见到大人先生是好的”“上九”，九的第一行，“亢龙有悔”“龙飞在天上，高过了头了，是要后悔的”。“用九”，这最后一行，“见群龙无首，吉”“九外一章，就见到许多龙，谁也没有头了，是好现象”。,008.简单的书.txt,12,《大李敖全集6.0》分章节/010.节目演讲类/001.李敖笑傲江湖/008.简单的书.txt,"方法,标点细节能暴露经典误读,简单的书"
LAT081-008,LAT081-009,李敖笑傲江湖,校对轮,已校对,政治,对日本应以直报怨,所以我的意思，我感到很惊讶，就是要盖一个抗战胜利纪念碑在台湾，都要有这种《自由时报》，这种头脑不清的报纸，做出这种解释出来。我认为台湾人这么注意一个二二八纪念碑来清算自己同胞的帐，为什么不肯盖一个抗战胜利纪念碑或者台湾五十年来被日本人统治的一个碑，来向日本人抗议呢？这就是为什么呢？台湾人过分的犯了不肯以直报怨的这种态度，孔子说以直报怨，不肯做。而变成了什么呢？变成了以德报怨，以德报怨变成了是对日本人的。这是什么人的混蛋头脑呢？蒋介石的呀！所以今天台湾人不对日本人表示仇视的人，就是蒋介石的徒子徒孙。是很可恶的，是很可耻的！,009.以德报怨.txt,20,《大李敖全集6.0》分章节/010.节目演讲类/001.李敖笑傲江湖/009.以德报怨.txt,"政治,对日本应以直报怨,以德报怨"
LAT081-009,LAT081-010,李敖笑傲江湖,校对轮,已校对,政治,钱学森反美是国家立场问题,傅先生最大的一个问题，他批评钱学森，他说，钱学森不应该反美。既然钱学森回到大陆去，主持大陆的飞弹计划，火箭计划。那么美国是经常用原子弹、核子弹来威胁大陆。那么钱学森站在自己国家的立场，他能够不把美国当做一个他所讨厌的对象吗？这很自然的。就是说每个人他要站在自己国家的立场来对待外国人。他不可能人在大陆，来崇拜美国，喜欢美国，帮忙美国，这是不可能的事。钱学森他本来是准备在美国继续研究火箭的问题，可是在1950年的时候，发生了两件事情。因为1949年的时候，毛泽东革命成功，大陆被共产党拿下来了，建立了中华人民共和国。美国所支持的国民党逃到台湾来，这个时候美国生气了。美国生气讨厌中共，也连带的不希望中共成为强国。所以这个时候美国发生一个事情，就是恐共症，好像全世界都是共产党，把美国包围起来了。这个恐共症相当于当年台湾的白色恐怖，所以美国到处找哪一个是共产党。首先非白种人很倒霉，钱学森因为是中国人，又是在美国接触高科技国防工作的，所以钱学森也被美国的特务所调查。,010.中国飞弹之父——钱学森.txt,6,《大李敖全集6.0》分章节/010.节目演讲类/001.李敖笑傲江湖/010.中国飞弹之父——钱学森.txt,"政治,钱学森反美是国家立场问题,中国飞弹之父——钱学森"
LAT081-010,LAT081-011,李敖笑傲江湖,校对轮,已校对,人格,脱离国民党是人格起点,整个的过程告诉我们，告诉我们什么呢？告诉我们，就是上次我所说的，就是你脱不脱离国民党是检验人格的第一个标准。我认为在台湾，我们今天的痛苦就是很多人做了国民党，做了国民党的大员，我们居然还肯定他们，还不谴责他们，还认为他们是好人，认为他们是清流。我们觉得在我李敖看起来，做国民党根本就是耻辱耶！大家过去在希腊有一句俗话，就是“一个好的希腊人就是一个死的希腊人”。希腊人坏透了，不可能好，除非你死掉。那么这句话呢，演变出来一句话，就是“一个好的共产党就是一个死的共产党”。共产党也不会变好，除非你死掉。同样的，在我的解释里面，一个好的国民党就是一个死的国民党。可是现在台湾的国民党太多了，比野狗还多。我讲过了，因为有很多人，他为了生活，为了存在，好比一个老兵啦，或者一个士官长啦，或一个办公厅的小职员啦！他们为了生活，不得不加入国民党。这种情况我们是可以原谅的，可以同情的。所以我李敖骂的不是他们，不是每一条野狗都骂的。,011.李敖与郁慕明.txt,20,《大李敖全集6.0》分章节/010.节目演讲类/001.李敖笑傲江湖/011.李敖与郁慕明.txt,"人格,脱离国民党是人格起点,李敖与郁慕明"
