id,source_id,book,round,status,category,title,description,source_file,source_paragraph,source_path,keywords
LAT108-001,LAT108-002,李远哲的真面目,校对轮,已校对,文化,科学奖荣誉不能由共同族群掠美,李远哲得了诺贝尔化学奖，台湾人说是台湾人的光荣，其实是掠美人之美的厚颜，因为李远哲是以美国人身分得的、以美国国籍的身分得的，跟台湾人并无关系，唯一有的关系是花了台湾人民的税捐学成出国，然后报效外国耳！,《李远哲的真面目》引言.txt,12,《大李敖全集6.0》分章节\012.人物研究类\010.李远哲的真面目\《李远哲的真面目》引言.txt,科学奖;荣誉;族群
LAT108-002,LAT108-003,李远哲的真面目,校对轮,已校对,政治,表达国家意见不必借顾问名目破坏体制,对于李远哲表示，如果陈水扁当选总统，愿意出任陈水扁的国政顾问，更引起李敖的批评，他认为这是最荒谬的事情，李远哲对国家有意见可以提出来，不须巧立名目，破坏国家体制。,《李远哲的真面目》引言.txt,16,《大李敖全集6.0》分章节\012.人物研究类\010.李远哲的真面目\《李远哲的真面目》引言.txt,国政顾问;国家体制;意见
LAT108-003,LAT108-006,李远哲的真面目,校对轮,已校对,人格,伟大科学家不能乡愿而见义无勇,李远哲当然不是抹杀他老师成就的人，但他怕公开肯定王企祥就会得罪别的人，这种心态，未免失之乡愿、失之见义无勇。真正伟大的科学家，是不该如此的。何况王企祥不是一般人，是他的恩师，他有今日的成就，得力于王企祥者尤多，忘恩负义是不应该的。我们盼望李远哲知过能改，公开向恩师认错。,001.关于李远哲忘恩负义的讨论.txt,10,《大李敖全集6.0》分章节\012.人物研究类\010.李远哲的真面目\001.关于李远哲忘恩负义的讨论.txt,科学家;乡愿;勇气
LAT108-004,LAT108-007,李远哲的真面目,校对轮,已校对,政治,最高研究机关应为科研不彰承担责任,吴大猷自从做了中央研究院院长以来，年复一年都张牙舞爪的写文章感慨于科学研究的不彰。但是，按照《中央研究院组织法》第一条明定，该院“为中华民国学术研究最高机关”，按第二条明定，“中央研究院之任务”在“从事科学研究”。可见科学研究不彰，罪在该院，不在别人。但吴大猷主持台湾科学研究三十年，不知自省，却老怪别人。如今此信曝光，证明见贤而不能用、妨碍科学研究者，正是他自己、正是他这个有加拿大国籍的人！我们一定要拆穿这一真相，以儆学阀。,001.关于李远哲忘恩负义的讨论.txt,23,《大李敖全集6.0》分章节\012.人物研究类\010.李远哲的真面目\001.关于李远哲忘恩负义的讨论.txt,研究机关;科学研究;责任
LAT108-005,LAT108-008,李远哲的真面目,校对轮,已校对,文化,嫉才和政治迎合会合谋造成学术迫害,从以上王企祥的文字中，我们恍然于国民党统治下学界的黑暗，竟已如此严重！据我调查，王企祥拒绝蒋彦士要他说“两位蒋总统是世界级的伟人”，是本案的重要关键。而王企祥的学术成就与正直性格遭到不学有术的刘兆玄、沈君山等人的嫉忌，以至希旨承风，去之而后快，也是本案发生的根本原因。,001.关于李远哲忘恩负义的讨论.txt,40,《大李敖全集6.0》分章节\012.人物研究类\010.李远哲的真面目\001.关于李远哲忘恩负义的讨论.txt,学术迫害;嫉才;政治迎合
LAT108-006,LAT108-009,李远哲的真面目,校对轮,已校对,方法,情感好恶不妨碍行文尊重证据,我虽是学史学的，但比你们科学家还科学。我承认自己有时在感情上有好恶，但好恶之起，乃根据事实而来，在事实方面，尊重证据、雅好求证。我这种态度，由我对蒋介石就可以看出。在感情上，我痛恨蒋介石；但这种痛恨，发为白纸黑字，却是尊重证据、雅好求证的。虽然在感情上，我是要鞭尸的伍子胥；但在行文上，我却有历史家的谨严，全凭证据来“诛奸谀于既死，发潜德之幽光”，——我是沙尔非米尼（Gaetano Salvemini）。沙尔非米尼是意大利历史家，他因反对大独裁者墨索里尼（Benito Mussolini）的法西斯政权入狱，但他日后下笔写墨索里尼，却凭证据来说话，叫人心服口服。我写《蒋介石研究》一至六集、编著《清算蒋介石》、编印《拆穿蒋介石》、《蒋介石张学良秘闻》、《侍卫官谈蒋介石》，……都是凭证据来说话的，叫人心服口服，有书为证。,001.关于李远哲忘恩负义的讨论.txt,68,《大李敖全集6.0》分章节\012.人物研究类\010.李远哲的真面目\001.关于李远哲忘恩负义的讨论.txt,情感;证据;历史方法
LAT108-007,LAT108-011,李远哲的真面目,校对轮,已校对,方法,研究者不得隐瞒关键史料,6月20日收到你的信，说：“最近有人跟我说你指责李远哲忘恩负义是不公平的！他说李远哲曾提议中央研究院原子分子研究所雇用王企祥，只是被其他人否决了他的提议。不知王企祥知不知道这件事？”其实王企祥当然知道这件事，并且我公布的李远哲这封“提议”的信，还是从他那儿挖出来的。——绝不隐瞒任何关键史料，是干我这一行的信条，就如同你们不隐瞒化学元素一样。所以，“有人”说我的“指责”“不公平”，这是“有人”胡说的。正相反的，我不但“公平”，并且连李远哲的一手好字，都给制版公布了呢！,001.关于李远哲忘恩负义的讨论.txt,78,《大李敖全集6.0》分章节\012.人物研究类\010.李远哲的真面目\001.关于李远哲忘恩负义的讨论.txt,关键史料;公开;求证
LAT108-008,LAT108-014,李远哲的真面目,校对轮,已校对,方法,推荐没有下文又不追问就不可信,第二、一般写八行书的规矩，受信人或答应信中要求，或婉为拒绝，都要有回音与回信。但此事却“石沉大海”，这是很可疑的，令人怀疑他们根本是“套招”。——刘兆玄以清华大学校长身份、张昭鼎以中央研究院原子分子科学研究所主任身份，岂会对李远哲如此不礼貌，连信都不回？而李远哲看到“石沉大海”，如真心为恩师谋职，又岂能若无其事，照样事后与他们“言笑晏晏”？这通吗？何况1989年八行书告吹后，他为什么不再另外替恩师想想办法、另谋出路？而任你流落至今？,001.关于李远哲忘恩负义的讨论.txt,88,《大李敖全集6.0》分章节\012.人物研究类\010.李远哲的真面目\001.关于李远哲忘恩负义的讨论.txt,回信;追问;推荐
LAT108-009,LAT108-015,李远哲的真面目,校对轮,已校对,人格,严师带来的痛苦不能成为忘恩借口,我识王企祥在三十年前的文星时代，那时他还在清华做教授，他是我的老朋友，但不算好朋友。原因是他是百分之百不通人情的书呆，人情世故，极不圆融，做他的朋友，很吃力。但他有一大长处，就是坦白待人、为人诚实、绝不说谎话。一切有话直说、有脾气就发，绝不客气。他教书认真，虽然热心帮助学生，但是脾气甚坏，可以想象做他的学生，比做朋友恐怕更吃力，我想李远哲吃了不少他的苦头。但在严师之下吃苦头，并不就是对恩师忘恩负义的借口，李远哲若有此一自解心理，就未免太小气、太无情了。,001.关于李远哲忘恩负义的讨论.txt,102,《大李敖全集6.0》分章节\012.人物研究类\010.李远哲的真面目\001.关于李远哲忘恩负义的讨论.txt,严师;忘恩;借口
LAT108-010,LAT108-016,李远哲的真面目,校对轮,已校对,人格,有能力补救却不行动会加深旧错,结论是，李远哲对恩师忘恩负义，应属事实。他可以不忘恩负义，尤其在他大到成为历史人物之后，有太多太多能力与机会去补救这一点，但他却不肯补救，反而使错误加深，这是他的不智、不仁、不勇。,001.关于李远哲忘恩负义的讨论.txt,104,《大李敖全集6.0》分章节\012.人物研究类\010.李远哲的真面目\001.关于李远哲忘恩负义的讨论.txt,补救;旧错;责任
