id,source_id,book,round,status,category,title,description,source_file,source_paragraph,source_path,keywords
LAT138-001,LAT138-001,你不知道的二二八,校对轮,已校对,写作,本书以立心立命与开太平为历史写作使命,在蒋介石死后二十年之日，李敖和汪荣祖出版了一本《蒋介石评传》，诛奸宄于既死、发史德之幽光；在二二八事件五十年之日，李敖和陈境圳出版了一本《你不知道的二二八》，为本省人立心、为外省人立命、为二二八开绝学、为台湾岛开太平。,001.《你不知道的二二八》序（一）李敖.txt,2,《大李敖全集6.0》分章节\014.台湾史政类\007.你不知道的二二八\001.《你不知道的二二八》序（一）李敖.txt,历史写作;立心;太平
LAT138-002,LAT138-002,你不知道的二二八,校对轮,已校对,人格,高唱公义和平不能以恐惧肃杀收场,为什么要立心？因为有人淆于是非之心；为什么要立命？因为有人难于安身立命；为什么要开绝学？因为有人把学术强奸污染；为什么要开太平？因为有人口口声声高唱二二八公义与和平，但一举手一投足，却是一片栗冽、一片肃杀，使人感到的不是太平与春阳，而是阴影中的寒噤。,001.《你不知道的二二八》序（一）李敖.txt,3,《大李敖全集6.0》分章节\014.台湾史政类\007.你不知道的二二八\001.《你不知道的二二八》序（一）李敖.txt,公义;和平;恐惧
LAT138-003,LAT138-003,你不知道的二二八,校对轮,已校对,方法,对二二八一知半解会落入三种预设叙事,寒噤起自五十年来，我们并不全面知道二二八，却自以为知道。结果呢，一谈二二八，我们就陷入三条错路：,001.《你不知道的二二八》序（一）李敖.txt,4,《大李敖全集6.0》分章节\014.台湾史政类\007.你不知道的二二八\001.《你不知道的二二八》序（一）李敖.txt,历史讨论;预设;误区
LAT138-004,LAT138-004,你不知道的二二八,校对轮,已校对,方法,蒋介石责任不能简化为派兵或全推陈仪,第一条错路是国民党对二二八的导向。国民党从不准谈二二八，到头疼医头、脚疼医脚式的谈二二八，一直陷入解释上的困境，它的基调只是两点：一、维护蒋介石；二、一切推给陈仪。这一基调从蒋介石枪毙陈仪就预设了，五十年来，一直照预设发展，最后闹到二二八纪念碑文之争，在列不列入蒋介石的名字上讨价还价，其实最后碑文修正为“蒋中正闻报即派兵”也修正错了，因为这并非蒋介石的真正罪过。蒋介石真正罪过不在派兵，以当时情况，设身处地，世界任何统治者都会派兵。蒋介石真正罪过在派了陈仪主台，却又派了其他派系挖陈仪墙脚。另一方面，他又认同了陈仪信任台湾人的好心肠，同意把风纪不良的六十二军、七十军调回大陆。结果变起之日，陈仪除了少数部队和警卫外，全无兵力应变，以致事件扩大，不可收拾。如今一谈二二八就把一切推给陈仪的人，其实都中了蒋介石的计、上了国民党的当！1月28日，发布纪念碑文，两次点名批判陈仪，甚至以“歧视台民”落实他的罪状，殊不知陈仪之“罪”，正在不“歧视”台民，反倒关心台民，甚至当年陷害陈仪的要角之一——国民党特务头子毛森，在四十年后垂老著文，都“其言也善”的指出：“最后我要代陈仪说句公道话，二二八的账都记陈的头上，是不公平的。……部队军风纪欠佳，引起台人反感，陈仪素重纪律、军容，故坚持撤走驻台之破烂叫化兵，因陈坚拒驻军，汤恩伯、林蔚等苦苦劝说，徐学禹也从旁力劝，……须驻军防变。陈仪说，我以至诚爱护台人，台人绝不会仇我，万一有意外，我愿做吴凤。大家建议由他最心爱的李良荣军驻防，陈说：‘我信任李良荣，但不欢迎他的叫化兵。’故二二八事变发生，毫无维持治安力量。”设想当时有“维持治安力量”，二二八根本不可能扩大。可是直到今天，二二八碑文上还在乱盖乱赖陈仪呢！,001.《你不知道的二二八》序（一）李敖.txt,5,《大李敖全集6.0》分章节\014.台湾史政类\007.你不知道的二二八\001.《你不知道的二二八》序（一）李敖.txt,蒋介石;陈仪;历史责任
LAT138-005,LAT138-005,你不知道的二二八,校对轮,已校对,政治,政党会把复杂历史纳入自己的功劳叙事,第二条错路是共产党对二二八的导向。国民党除了把一切推给自己人陈仪外，也附带临门一脚，把责任推给敌人共产党。有好长一段时间，国民党把二二八的原因，归咎于“共党煽惑暴动”。共产党也乐得顺水人情，也就居之不疑，大接起漏油来。一九七五年二月北京召开“二二八纪念会”，共产党巨头廖成志宣称：“二二八事件是中国人民在毛主席和中国共产党领导下，反帝反封建反官僚资本主义的新民主主义的一部分。”这种宣称，又何其与事实不符！但是共产党哪管这些，党之常情，都要归功于己，何况拜国民党之赐，礼物送上门呢！,001.《你不知道的二二八》序（一）李敖.txt,6,《大李敖全集6.0》分章节\014.台湾史政类\007.你不知道的二二八\001.《你不知道的二二八》序（一）李敖.txt,政党;历史;功劳叙事
LAT138-006,LAT138-006,你不知道的二二八,校对轮,已校对,方法,悲怆不能赋予背离历史真相的权利,第三条错路是“台湾精英们”对二二八的导向。“台湾精英们”包括“台独”分子、民进党、学者教授以及受难者家属等等。这些人的心情是悲怆的，悲怆得令人同情，但是因悲怆就觉得自己有权利背离真相，则对历史而言，其不公道，却跟国民党共产党相同。不幸的是，他们却陷入这一情境而不能自拔，相激相荡之下，二二八碑文中竟看不到一丝一毫外省人伤亡的痕迹，这公道吗？再以李登辉指示《二二八事件研究报告》为例，在该报告附件中，明明“大溪档案”第49页有“张镇呈蒋主席3月5日报告”，明载到3月5日止，“外省人之被袭击而伤亡者，总数在八百人以上”，但在该报告正文中，却为何视而不见，全给抹杀？在厚达四百三十四页的该报告中，严格说来，谈到一般外省人受害的，加起来只有半页而已！并且夹叙夹议，还动了手脚。该报告对外省人受害，用的字眼，是“暴力行动”、是“打”、是“毒打”、是“殴打”、是“痛殴”，看不到“死”字和“杀”字。唯一一次用“打杀”外省母子、一次用“日本军刀砍杀”外省孕妇，并且立刻予以消音，以“据闻”处理、以“传闻”处理，还加上“不少本省人斥之为捏造”十个字，而这十个字毫无出处，也无注释，这可就太“技术犯规”了！学术报告必须言必有据，该报告也公开以“让资料说话”为号召，如今报告中竟出现了于资料无据而全是学者自己捏造的话，这叫什么学术！这叫什么报告！事实上，当时杀人情况可分四大类：,001.《你不知道的二二八》序（一）李敖.txt,7,《大李敖全集6.0》分章节\014.台湾史政类\007.你不知道的二二八\001.《你不知道的二二八》序（一）李敖.txt,悲怆;历史真相;学术报告
LAT138-007,LAT138-011,你不知道的二二八,校对轮,已校对,方法,学术报告不能以技术手段放大单方伤亡,如今事涉本省人杀外省人，就轻描淡写或按下不表；事涉外省人杀本省人，就夸大其词或愈加愈多，这不但与真相不合、与历史不合，也不是公义、和平之道，更不是消弭族群对立之道。该报告就外省人杀本省人，特别加工加油加酱，该报告说：“人口学推估无法获致死亡的人数的结论，而统计数字之所以如此悬殊，主要来自官方统计之不被采信与民间之渲染。”可见已明知“人口学”的不可靠。既明知不可靠，却在附录中，以十四页篇幅，刊出《二二八事件死亡人数的人口学推计》，说“我们认为二二八事件的死亡人数，也许是在一万八千至二万八千人之间”。立刻喧腾中外，这是什么意思呢？何况，统计学上误差达百分之一者都是大事，二二八死亡人数，在这票学者的推计中，罹难误差竟高达百分之五十，这又是哪一国的统计学呢？又是哪一国的人口学呢？,001.《你不知道的二二八》序（一）李敖.txt,12,《大李敖全集6.0》分章节\014.台湾史政类\007.你不知道的二二八\001.《你不知道的二二八》序（一）李敖.txt,学术报告;伤亡;统计
LAT138-008,LAT138-012,你不知道的二二八,校对轮,已校对,方法,没有实据的死亡数字只会增加仇恨,关于二二八死亡人数，本来就是众说纷纭的。从杨亮功的死亡一百九十人到史明的十几万人所在多有。但是，既然查无实据，碑文硬说“数以万计”岂不自寻苦恼？岂不徒增仇恨？没死那么多人硬说死那么多，何苦来啊？,001.《你不知道的二二八》序（一）李敖.txt,13,《大李敖全集6.0》分章节\014.台湾史政类\007.你不知道的二二八\001.《你不知道的二二八》序（一）李敖.txt,死亡数字;实据;仇恨
LAT138-009,LAT138-013,你不知道的二二八,校对轮,已校对,方法,死亡人数应以实名查证而非人口猜谜,江崇林被访问时已八十二岁，记忆力或有问题，但他提出的一个“任何一县市列出一二千位死亡者的姓名来”的方法，其实是今天真正求取二二八死亡数目的唯一“笨方法”。上万人的死亡不是小事，死者应有亲友邻居追忆他们的姓名和特征。可是，开放登记以后，登记到1995年底，也不过一千四百七十六人！纵使全真，比起“数以万计”来，也未免太少了！难道台湾人竟这么健忘、这么胆怯、这么无情，在近五十年之后，仍不肯为亲友邻居留下一点姓名和特征吗？用“笨方法”去列举出台湾精英的英名榜，岂不更具体、更完美、更取信于人吗？又何必在估算死人上做天马行空的数字猜谜呢？,001.《你不知道的二二八》序（一）李敖.txt,16,《大李敖全集6.0》分章节\014.台湾史政类\007.你不知道的二二八\001.《你不知道的二二八》序（一）李敖.txt,死亡人数;实名;查证
LAT138-010,LAT138-014,你不知道的二二八,校对轮,已校对,人格,不论死者身份和人数都应反省悲剧形成,不论谁死、不论死多少人，都是悲剧。但回想悲剧的形成，五十年来，究竟有几人好好反省了呢？,001.《你不知道的二二八》序（一）李敖.txt,17,《大李敖全集6.0》分章节\014.台湾史政类\007.你不知道的二二八\001.《你不知道的二二八》序（一）李敖.txt,死者;悲剧;反省
LAT138-011,LAT138-015,你不知道的二二八,校对轮,已校对,人格,历史责任不能百分之百推给单一族群,今天“台湾精英们”的反省结果，百分之百全怪外省人。但我怀疑，到底有没有一个小数点——百分之百怪外省人中的一个小数点，本省人也不妨反省反省呢？例如事件之起，是缉私人员惊慌中开枪误杀了一名看热闹者，这种缉私人员应予严办，是对的，但群众包围警察局，要求立刻“就地正法”，这种不懂事的要求，任何官员都做不到。做不到就起暴动，把外省人中的无辜者予以打、砸、抢、杀，妇女予以强奸，婴儿予以摔死，这种行为，不该反省反省吗？由这种暴民滥杀行为招致来的暴君派部队登陆滥杀，能够百分之百全怪外省人吗？我绝对不是说国民党政府惹起民变、处理民变是对的，但相对方面，本省人的肆虐与招祸反应，也不无反省之处。但是，直到五十年后的今天，又有几位反省了呢？,001.《你不知道的二二八》序（一）李敖.txt,18,《大李敖全集6.0》分章节\014.台湾史政类\007.你不知道的二二八\001.《你不知道的二二八》序（一）李敖.txt,历史责任;族群;反省
LAT138-012,LAT138-016,你不知道的二二八,校对轮,已校对,方法,评价镇压也要设身处地面对当时秩序困境,事件之起，陈仪答应“惩凶赔款”“不秋后算账”，本已息事宁人、本已屈服，但是，本省人价码节节升高，答应了三十二条，又来了四十二条，不懂事的要求，使任何官员都做不到，最后只好兵戎相见，进一步造成悲剧。这种没有底价似的讨价还价，活像六四天安门前的学生，最后乱开价，逼得对方忍无可忍，只好动粗。如今一家哭引发一路哭、一路哭引发全岛哭，说不该动粗，你看你把我打成这样子，动粗的确不该，但不动粗，又该怎么做才能平息四处蜂起的暴乱呢？五十年了，谁又假设假设，如果你设身处地，你怎么想？如果你是二十一师的抗战老兵，老子跟日本鬼子打了八年仗，光复了台湾，台湾人居然戴起日本人军帽、唱起日本人军歌、拿起日本人军刀军枪，沿街打杀外省人，这种亡国奴习性，老子还不教训教训你吗？——如果你是那种老兵，你会有更理性的表现吗？,001.《你不知道的二二八》序（一）李敖.txt,19,《大李敖全集6.0》分章节\014.台湾史政类\007.你不知道的二二八\001.《你不知道的二二八》序（一）李敖.txt,镇压;设身处地;秩序
LAT138-013,LAT138-017,你不知道的二二八,校对轮,已校对,人格,族群理解必须双向设身处地,外省人不设身处地替本省人想，本省人至今谴责；但本省人有无也该设身处地想想外省人呢？想想无辜被打杀的外省人呢？想想仇日老兵的报复心态呢？,001.《你不知道的二二八》序（一）李敖.txt,20,《大李敖全集6.0》分章节\014.台湾史政类\007.你不知道的二二八\001.《你不知道的二二八》序（一）李敖.txt,族群;理解;设身处地
LAT138-014,LAT138-018,你不知道的二二八,校对轮,已校对,人格,真正的精英要敢于纠正自己的阵营,我绝不说外省人对，但我觉得，本省人的真正精英，应该勇于站出来，矫正矫正自己人的方向，“障百川而东之，挽狂澜于既倒”，而不是听任暴民胡来。,001.《你不知道的二二八》序（一）李敖.txt,21,《大李敖全集6.0》分章节\014.台湾史政类\007.你不知道的二二八\001.《你不知道的二二八》序（一）李敖.txt,精英;阵营;纠正
