id,book,round,status,category,title,description,source_file,source_paragraph,source_path,keywords
LAT001-001,李敖自传与回忆,校对轮,已校对,写作,反回忆录：由个人传奇见时代,法国文豪马尔罗（Andre Malraus）写自传与回忆，用的是“反回忆录”（Anti-Memoirs）的特色，以个人传奇与往日历史为题材，详人所略、略人所详，最能表现出个人、历史与时代的错综关系。我这本自传与回忆、特色亦复如此。会读书的人，必然能把握这种特色，从重要的几斑，看到全豹。因此，不论豹生豹死，都难逃留皮，这本奇书，也就功德在兹矣！,《李敖自传与回忆》自序.txt,4,《大李敖全集6.0》分章节/001.自传回忆类/001.李敖自传与回忆/《李敖自传与回忆》自序.txt,"自传,反回忆录,历史,时代"
LAT001-002,李敖自传与回忆,校对轮,已校对,文化,礼教杀人,妈妈是以“媒妁之言”同爸爸结婚的，那时爸爸离婚不久，前任是一位尹女士，因为这位女士不生男的，也不生女的，所以难安于位。爸爸给她找来医生诊断，但尹女士是旧式的中国妇道人家，非常“羞医”，不肯让医生看她的妇人病，最后郁郁以死，这当然是“礼教杀人”的一个例。我小时候，逢年过节要同姐姐们折锡箔，装入大纸口袋，烧给死去的亲人，其中一袋，就是烧给尹女士的。,001.李敖自传.txt,11,《大李敖全集6.0》分章节/001.自传回忆类/001.李敖自传与回忆/001.李敖自传.txt,"礼教,女性,旧家庭"
LAT001-003,李敖自传与回忆,校对轮,已校对,文化,无子之罪不在女性,现代的生理学证明，生不生男的，原因在男方而不在女方，但是以前人不知道，尤其以前的婆婆不知道也决心不知道，所以旧式的中国小媳妇会因“无子”而被“七出”，她们真可怜！,001.李敖自传.txt,13,《大李敖全集6.0》分章节/001.自传回忆类/001.李敖自传与回忆/001.李敖自传.txt,"女性,生理学,七出"
LAT001-004,李敖自传与回忆,校对轮,已校对,政治,小自由不容于政府权力,大概大爷的村学究使我祖父（我们叫爷爷）不满意，大爷自己也愿成全弟弟念更好的学校，于是，在父兄的帮助下，爸爸考上了国立北京大学。本来籍贯是山东省潍县，因为领吉林省公费，籍贯就改为吉林省扶余县。当时只是爸爸一个人改，所以只他一个人是吉林扶余，爷爷和我们仍是山东潍县。这种情形，一直到1949年（民国三十八年）到了台湾，才被户政机关命令统一，从此我也是吉林扶余。这件小事，反映了籍贯自由的嬗变。在政府权力越来越大的时候，这点小自由也都不容于台湾了。,001.李敖自传.txt,19,《大李敖全集6.0》分章节/001.自传回忆类/001.李敖自传与回忆/001.李敖自传.txt,"籍贯,户政,政府权力"
LAT001-005,李敖自传与回忆,校对轮,已校对,知识,知识分子不该被训词化,爸爸在1926年（民国十五年）北大毕业，吉林省政府想公费送他留学，他那时已经二十八岁了，急于回家乡养家，所以就拒绝了。因为是“京师大学堂”毕业的，回到家乡，非常拉风，他立刻被聘为吉林四中（六中？）校长，当时的待遇极好，远非日后的穷教员可比。当时对教育界人士和知识分子的重视与尊敬，也远非日后的风气可比。爸爸说：军阀张作霖，在孔夫子诞辰的时候，脱下军装，换上长袍马褂，跑到各个学校，向老师们打躬作揖，说我们是大老粗，什么都不懂，教育下一代，全亏诸位老师偏劳，特地跑来感谢。军阀们是不敢向教育界人士致训词的，也不敢颁发训词教教师研读的。,001.李敖自传.txt,29,《大李敖全集6.0》分章节/001.自传回忆类/001.李敖自传与回忆/001.李敖自传.txt,"知识分子,教育,训词"
LAT001-006,李敖自传与回忆,校对轮,已校对,文化,人口也是抗拒瓜分的力量,1904年，日本和俄国打仗，千古怪事是，这两个国家打仗，战场却在第三国——中国的东北。东北这时候，已经有四百万人口，这些人口的压阵，使日本、俄国在瓜分东北上，产生了不少阻力。满洲人再也没想到：禁止到他们老家的汉人，却在阴错阳差之中，替他们看住了老家！这些看家的开拓者中，有一个满口山东口音的壮汉，就是李凤亭先生。,001.李敖自传.txt,39,《大李敖全集6.0》分章节/001.自传回忆类/001.李敖自传与回忆/001.李敖自传.txt,"东北,日俄战争,人口"
LAT001-007,李敖自传与回忆,校对轮,已校对,文化,丧礼次序中的男尊女卑,出殡时候，爷爷的子孙媳女大排长龙，大爷是长子，第一名，依次为爸爸、三叔、五叔、六叔、大哥、我，全部男性领先。在我后面是大娘、妈妈、三婶、三姨（即五婶，因她是妈妈的妹妹，所以只叫三姨）、六婶等。这种排名次序，充分看出中国男尊女卑的传统。,001.李敖自传.txt,57,《大李敖全集6.0》分章节/001.自传回忆类/001.李敖自传与回忆/001.李敖自传.txt,"男尊女卑,传统,家庭"
LAT001-008,李敖自传与回忆,校对轮,已校对,文化,让张学良代背不抵抗黑锅,1931年9月18日，发生了九一八事变，当时国民党的政策是不抵抗，但把这一政策叫张学良执行，并要他代背黑锅。这一内幕，我和一般人一样，都被国民党宣传骗了多年，直到我的三姐夫石锦告诉我蛛丝马迹，才引起我为张学良平反的兴趣。石锦的爸爸是石九龄。石九龄，辽宁省锦州市人，北京法政大学法律系毕业。1925年参加国民党，在“孙、段、张（孙文、段祺瑞、张作霖）三角联盟”的空气里，出任司法总长杨庶堪的秘书，而杨庶堪在段内阁任职，却又和孙文有关。1926年，石九龄回到东北办党，曾任军法官、军法处长等职务，以掩护国民党的秘密发展。1928年，张作霖因为爱国，不同日本鬼子合作，被日本鬼子炸死。后来他的儿子张学良和国民党合作，石九龄遂在1929年公开出任吉林省党部常务委员。九一八事变后第二年，国民党将辽宁、吉林、黑龙江、哈尔滨四省市党部合组为东北办事处，石九龄仍任常务委员，直到1939年。前后十年，分别在秘密、公开与地下三阶段领导东北党务，所知内情独多。据石九龄向石锦无意中透露，所谓张学良不抵抗，事实上是国民党党中央给张学良命令不抵抗的，这种命令，曾公然形之于文字来传达，所以事后说张学良不抵抗，无异是叫张学良替国民党党中央背黑锅。,001.李敖自传.txt,102,《大李敖全集6.0》分章节/001.自传回忆类/001.李敖自传与回忆/001.李敖自传.txt,"九一八,张学良,国民党"
LAT001-009,李敖自传与回忆,校对轮,已校对,文化,官定抗日史的倒装,陶百川绑票学生事件，惹得群情大哗。但是国民党哪里怕过群情，仍旧我行我素，宁整中国人，不打日本人。国民党抗日的官定时间远在十年之后才宣布，其悠闲可想！这时马占山将军早已抗日抗了十年了。国民党日后倒装光荣历史，把抗日的帐一古脑儿算在自己头上，不但把马占山将军靠边站，甚至卢沟桥抗日的光荣，也一网兜收了。其实1937年7月7日，只是北方将士在卢沟桥抗日，是北方将士用流血造成事实上的一个明确起点，国民党宣传他们从这时候向日本如何如何，是与事实不符的。国民党政府向日本宣战，乃远在四年以后，时间是1941年12月9日，是日本偷袭珍珠港、打了美国人的第二天。中国打了四年仗，到这一天，才宣布：“兹特正式对日宣战，昭告中外所有一切条约协定合同，有涉及中日间之关系者一律废止。”“中国为酷爱和平之民族，过去四年余之神圣抗战，原期侵略者之日本于遭受实际之惩创后终能反省。在此时期，各友邦亦极端忍耐，冀其悔祸。”“不料残暴成性之日本执迷不悟”，最后才“兹特正式对日宣战”。——被人侵略了四年，才向人宣战，这种杰作，真不能不说是天下第一鲜事了！,001.李敖自传.txt,108,《大李敖全集6.0》分章节/001.自传回忆类/001.李敖自传与回忆/001.李敖自传.txt,"抗日,宣传,历史记忆"
LAT001-010,李敖自传与回忆,校对轮,已校对,政治,党国酬庸：不坐牢就是奖励,吴焕章仗义执言，给国民党特务头子郭紫峻这封秘件，最后使爸爸在抗战胜利之后，总算免掉了牢狱之灾。至于爸爸抗日的功劳、做地下工作的功劳，当然是没有奖励的，不坐牢就是奖励，——这就是国民党的酬庸与宽大啊！,001.李敖自传.txt,180,《大李敖全集6.0》分章节/001.自传回忆类/001.李敖自传与回忆/001.李敖自传.txt,"抗日,党国,牢狱"
